feature,importance
lm_st5,0.08156486807161914
clustering_UniqueMappingClustering,0.06890612626679893
clustering_KiralyMSMApproximateClustering,0.05897379531187989
threshold,0.03252025282927158
lm_sent_glove,0.014845748035743655
clustering_ConnectedComponentsClustering,0.012857080882050865
lm_sdistilroberta,0.007166445209894778
lm_sminilm,0.0037356455158235047
k,4.917894498261966e-05
AverageDistinctValuesPerAttribute,0.0
NumberOfMissingNVpairs,0.0
AverageNVpairsPerAttribute,0.0
AverageValueTokens,0.0
MaxValuesPerEntity,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
AverageValueLength,0.0
lm_smpnet,-0.005536473819250487
lm_fasttext,-0.03345974723839369
