feature,importance
clustering_ConnectedComponentsClustering,0.15926278763751717
clustering_UniqueMappingClustering,0.14052326365167006
lm_st5,0.043507379110867814
threshold,0.04304452427554288
lm_sdistilroberta,0.015298819920670326
lm_smpnet,0.011797171313205724
lm_sminilm,0.00022649695229244317
k,0.00020442123396957612
AverageValueLength,0.0
MaxValuesPerEntity,0.0
AverageValueTokens,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
clustering_KiralyMSMApproximateClustering,-0.027707964391423978
lm_fasttext,-0.10289511391336514
lm_word2vec,-0.239768367855887
lm_sent_glove,-0.24331084533826655
