feature,importance
lm_st5,0.0271096723461147
clustering_ConnectedComponentsClustering,0.02438428636039198
lm_word2vec,0.005752882322147723
lm_sent_glove,0.0011126252669798387
threshold,0.00034993243736560766
AverageDistinctValuesPerAttribute,0.0
MaxValuesPerEntity,0.0
AverageValueLength,0.0
NumberOfMissingNVpairs,0.0
AverageValueTokens,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
k,-7.963875981964464e-06
clustering_KiralyMSMApproximateClustering,-0.0018511317045923014
lm_fasttext,-0.006839843080627262
lm_sminilm,-0.006858074807566883
lm_sdistilroberta,-0.009558107918777248
clustering_UniqueMappingClustering,-0.011932408860067235
lm_smpnet,-0.016605762195180018
