feature,importance
clustering_ConnectedComponentsClustering,1.8781584415680335
lm_word2vec,0.03925897580658209
clustering_UniqueMappingClustering,0.018590061689933178
NumberOfMissingNVpairs,0.0
lm_sminilm,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
AverageValueTokens,0.0
AverageValueLength,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
k,-1.5361270531144555e-06
lm_st5,-0.008991574114174127
clustering_KiralyMSMApproximateClustering,-0.01530274388560251
threshold,-0.3344013113168929
