FEATURE,IMPORTANCE,STD,RANK,DATASET,TEST_SET,REGRESSOR
lm_st5,0.0573310362154558,0.0009398336242594,22,all,D2,AutoML
lm_word2vec,0.0002088020519969,2.3175969555576498e-06,23,all,D2,AutoML
k,0.0005436618822894,2.3524848402023822e-05,0,all,D8,AutoML
threshold,-0.1011478740979148,0.001473953454927,1,all,D8,AutoML
InputEntityProfiles,0.0,0.0,2,all,D8,AutoML
NumberOfAttributes,0.0,0.0,3,all,D8,AutoML
NumberOfDistinctValues,0.0,0.0,4,all,D8,AutoML
NumberOfNameValuePairs,0.0,0.0,5,all,D8,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,all,D8,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,all,D8,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,all,D8,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,all,D8,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,all,D8,AutoML
AverageValueLength,0.0,0.0,11,all,D8,AutoML
AverageValueTokens,0.0,0.0,12,all,D8,AutoML
MaxValuesPerEntity,0.0,0.0,13,all,D8,AutoML
clustering_ConnectedComponentsClustering,1.2553022535995255,0.0080977881711538,14,all,D8,AutoML
clustering_KiralyMSMApproximateClustering,-0.0458494381748423,0.0006488027314989,15,all,D8,AutoML
clustering_UniqueMappingClustering,-0.0056154199930444,0.0004303474279683,16,all,D8,AutoML
lm_fasttext,-0.0264811163327129,0.0009420877772399,17,all,D8,AutoML
lm_sdistilroberta,-0.0072553042807143,0.0002801555389815,18,all,D8,AutoML
lm_sent_glove,-0.0508236445391967,0.0005618082294711,19,all,D8,AutoML
lm_sminilm,-0.0016373401953776,0.0013794096267714,20,all,D8,AutoML
lm_smpnet,-0.0121470503879104,0.0004131826235176,21,all,D8,AutoML
lm_st5,-0.0040030008274218,0.0012362329130074,22,all,D8,AutoML
lm_word2vec,-0.0438639085544032,0.000435906419606,23,all,D8,AutoML
k,-5.785290834658952e-05,1.915302809161632e-05,0,all,D1,AutoML
threshold,-0.0486401050480358,0.0041252557623953,1,all,D1,AutoML
InputEntityProfiles,0.0,0.0,2,all,D1,AutoML
NumberOfAttributes,0.0,0.0,3,all,D1,AutoML
NumberOfDistinctValues,0.0,0.0,4,all,D1,AutoML
NumberOfNameValuePairs,0.0,0.0,5,all,D1,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,all,D1,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,all,D1,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,all,D1,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,all,D1,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,all,D1,AutoML
AverageValueLength,0.0,0.0,11,all,D1,AutoML
AverageValueTokens,0.0,0.0,12,all,D1,AutoML
MaxValuesPerEntity,0.0,0.0,13,all,D1,AutoML
clustering_ConnectedComponentsClustering,-0.1971821816984114,0.0124827763412228,14,all,D1,AutoML
clustering_KiralyMSMApproximateClustering,0.0024641265469512,7.663379589101185e-05,15,all,D1,AutoML
clustering_UniqueMappingClustering,0.002179377022552,2.741440727612486e-05,16,all,D1,AutoML
lm_fasttext,0.0009319957664302,2.3111066407357023e-05,17,all,D1,AutoML
lm_sdistilroberta,5.596778376748546e-05,7.41335387178649e-06,18,all,D1,AutoML
lm_sent_glove,0.0018299619063809,9.549836399227432e-05,19,all,D1,AutoML
lm_sminilm,0.0053858637423285,0.0002884343049378,20,all,D1,AutoML
lm_smpnet,-0.0035940397143417,8.649501349395636e-05,21,all,D1,AutoML
lm_st5,0.0005724505529563,0.0032651995855125,22,all,D1,AutoML
lm_word2vec,-0.0001623965360413,7.462531828788299e-06,23,all,D1,AutoML
k,0.0003425247047401,1.836214103522412e-05,0,all,D7,AutoML
threshold,0.2170081653789256,0.0025135820582832,1,all,D7,AutoML
InputEntityProfiles,0.0,0.0,2,all,D7,AutoML
NumberOfAttributes,0.0,0.0,3,all,D7,AutoML
NumberOfDistinctValues,0.0,0.0,4,all,D7,AutoML
NumberOfNameValuePairs,0.0,0.0,5,all,D7,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,all,D7,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,all,D7,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,all,D7,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,all,D7,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,all,D7,AutoML
AverageValueLength,0.0,0.0,11,all,D7,AutoML
AverageValueTokens,0.0,0.0,12,all,D7,AutoML
MaxValuesPerEntity,0.0,0.0,13,all,D7,AutoML
clustering_ConnectedComponentsClustering,0.4875074538960805,0.0049165082626231,14,all,D7,AutoML
clustering_KiralyMSMApproximateClustering,0.0031596574764222,4.4903515879126194e-05,15,all,D7,AutoML
clustering_UniqueMappingClustering,0.0009184006078117,1.200423581886818e-05,16,all,D7,AutoML
lm_fasttext,0.0002385192075443,5.57966245995446e-06,17,all,D7,AutoML
lm_sdistilroberta,-0.0003335585938284,8.649123070828119e-06,18,all,D7,AutoML
lm_sent_glove,-7.351932565915486e-05,1.6231034189873044e-05,19,all,D7,AutoML
lm_sminilm,0.0096791658264496,0.0001934679767327,20,all,D7,AutoML
lm_smpnet,2.659330303228513e-05,4.017134999136535e-06,21,all,D7,AutoML
lm_st5,0.0037915174016569,0.0005513839269403,22,all,D7,AutoML
lm_word2vec,-2.014547481986595e-05,3.2102582073806893e-06,23,all,D7,AutoML
k,0.0001701953899089,1.4220729467232478e-05,0,all,D5,AutoML
threshold,0.0073531354675878,0.0016804959999245,1,all,D5,AutoML
InputEntityProfiles,0.0,0.0,2,all,D5,AutoML
NumberOfAttributes,0.0,0.0,3,all,D5,AutoML
NumberOfDistinctValues,0.0,0.0,4,all,D5,AutoML
NumberOfNameValuePairs,0.0,0.0,5,all,D5,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,all,D5,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,all,D5,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,all,D5,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,all,D5,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,all,D5,AutoML
AverageValueLength,0.0,0.0,11,all,D5,AutoML
AverageValueTokens,0.0,0.0,12,all,D5,AutoML
MaxValuesPerEntity,0.0,0.0,13,all,D5,AutoML
clustering_ConnectedComponentsClustering,0.4806809577677937,0.0033072226400782,14,all,D5,AutoML
clustering_KiralyMSMApproximateClustering,0.0476418844798608,0.0009216352935118,15,all,D5,AutoML
clustering_UniqueMappingClustering,0.0050607360451587,0.0001089815988507,16,all,D5,AutoML
lm_fasttext,0.0171810592620719,0.0003967414838593,17,all,D5,AutoML
lm_sdistilroberta,0.002770792587242,8.151643697540269e-05,18,all,D5,AutoML
lm_sent_glove,-6.832963689886728e-05,0.0001088353054022,19,all,D5,AutoML
lm_sminilm,0.0050684291371892,0.0002972970404239,20,all,D5,AutoML
lm_smpnet,-0.0004450541843489,0.0001507564941688,21,all,D5,AutoML
lm_st5,-0.0194936929851846,0.0011235480279034,22,all,D5,AutoML
lm_word2vec,-0.0073393066413693,0.0001058991184175,23,all,D5,AutoML
k,5.512608261586394e-05,6.536407933062637e-05,0,gridsearch,D10,AutoML
threshold,0.0360430249396487,0.001100114353105,1,gridsearch,D10,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D10,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D10,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D10,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D10,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D10,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D10,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D10,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D10,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D10,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D10,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D10,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D10,AutoML
clustering_ConnectedComponentsClustering,0.6244633481522154,0.0069162513460268,14,gridsearch,D10,AutoML
clustering_KiralyMSMApproximateClustering,-0.0242832697770274,0.0015720426619564,15,gridsearch,D10,AutoML
clustering_UniqueMappingClustering,-0.0076711478584825,0.0005990177691666,16,gridsearch,D10,AutoML
lm_fasttext,-0.0187826281981132,0.0012789125939395,17,gridsearch,D10,AutoML
lm_sdistilroberta,0.029328797780853,0.0005333095049754,18,gridsearch,D10,AutoML
lm_sent_glove,0.0326134137116492,0.0015204228229631,19,gridsearch,D10,AutoML
lm_sminilm,0.0032047973124053,0.000296730390206,20,gridsearch,D10,AutoML
lm_smpnet,0.0015430193663148,0.0001098670840383,21,gridsearch,D10,AutoML
lm_st5,-0.0119394857899332,0.0005939899555933,22,gridsearch,D10,AutoML
lm_word2vec,-0.0242518874246456,0.0005885122354827,23,gridsearch,D10,AutoML
k,0.0001155363529316,0.0001260998103571,0,gridsearch,D6,AutoML
threshold,0.0744324804769258,0.0025203869075346,1,gridsearch,D6,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D6,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D6,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D6,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D6,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D6,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D6,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D6,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D6,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D6,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D6,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D6,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D6,AutoML
clustering_ConnectedComponentsClustering,0.1737219935527599,0.0049452087749451,14,gridsearch,D6,AutoML
clustering_KiralyMSMApproximateClustering,-0.0247045692361242,0.000976344626098,15,gridsearch,D6,AutoML
clustering_UniqueMappingClustering,-0.0073360074452083,0.0002752695736818,16,gridsearch,D6,AutoML
lm_fasttext,-0.0001346217273901,0.0010004835184914,17,gridsearch,D6,AutoML
lm_sdistilroberta,-0.0080506344862934,0.0004319335798024,18,gridsearch,D6,AutoML
lm_sent_glove,0.013363191234089,0.0017168097521654,19,gridsearch,D6,AutoML
lm_sminilm,-0.0006224911591497,0.0004220671574582,20,gridsearch,D6,AutoML
lm_smpnet,-0.0039531486893929,0.0001319741731722,21,gridsearch,D6,AutoML
lm_st5,0.0104366762533316,0.0004529068802844,22,gridsearch,D6,AutoML
lm_word2vec,0.0521526474599416,0.0013755086377478,23,gridsearch,D6,AutoML
k,-3.565371473359669e-05,2.4560841875091367e-05,0,gridsearch,D3,AutoML
threshold,0.0328775091428598,0.0007234176733312,1,gridsearch,D3,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D3,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D3,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D3,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D3,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D3,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D3,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D3,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D3,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D3,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D3,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D3,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D3,AutoML
clustering_ConnectedComponentsClustering,0.0595443535039558,0.002029587271602,14,gridsearch,D3,AutoML
clustering_KiralyMSMApproximateClustering,0.0015744977714108,0.0009610082537821,15,gridsearch,D3,AutoML
clustering_UniqueMappingClustering,-0.0275106186619365,0.0003861958641465,16,gridsearch,D3,AutoML
lm_fasttext,-0.0058135154489044,0.0015423287242889,17,gridsearch,D3,AutoML
lm_sdistilroberta,0.0041480885847686,0.0001371049756928,18,gridsearch,D3,AutoML
lm_sent_glove,-0.0343456196129861,0.0008313464575984,19,gridsearch,D3,AutoML
lm_sminilm,-0.0015120367819691,0.0003336791515901,20,gridsearch,D3,AutoML
lm_smpnet,0.0016748559986713,0.0001632282150931,21,gridsearch,D3,AutoML
lm_st5,0.0079978854081512,0.0002970725341926,22,gridsearch,D3,AutoML
lm_word2vec,-0.0284268425612107,0.0012709047462798,23,gridsearch,D3,AutoML
k,-1.382651517274347e-05,1.1033924762251577e-05,0,gridsearch,D9,AutoML
threshold,0.0073381442185762,0.0005196224779069,1,gridsearch,D9,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D9,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D9,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D9,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D9,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D9,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D9,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D9,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D9,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D9,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D9,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D9,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D9,AutoML
clustering_ConnectedComponentsClustering,0.097462202705031,0.0010084618050571,14,gridsearch,D9,AutoML
clustering_KiralyMSMApproximateClustering,0.0076822717077998,0.0002102234100419,15,gridsearch,D9,AutoML
clustering_UniqueMappingClustering,-0.0034177892070331,0.0001265769427063,16,gridsearch,D9,AutoML
lm_fasttext,0.0040912637456623,0.0001967784571609,17,gridsearch,D9,AutoML
lm_sdistilroberta,-0.0052416401574021,9.668698873893144e-05,18,gridsearch,D9,AutoML
lm_sent_glove,0.0020167364752335,0.0003202103653045,19,gridsearch,D9,AutoML
lm_sminilm,-0.0003729853141795,0.0001280011984945,20,gridsearch,D9,AutoML
lm_smpnet,-0.0035294124091788,4.028653981117529e-05,21,gridsearch,D9,AutoML
lm_st5,-0.0105267316474717,0.000179069859047,22,gridsearch,D9,AutoML
lm_word2vec,0.0054946743247519,0.0007393798492515,23,gridsearch,D9,AutoML
k,8.505500271072109e-06,6.817201033228443e-06,0,gridsearch,D2,AutoML
threshold,-0.015663262396409,0.0008705246632226,1,gridsearch,D2,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D2,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D2,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D2,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D2,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D2,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D2,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D2,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D2,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D2,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D2,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D2,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D2,AutoML
clustering_ConnectedComponentsClustering,0.0719593302414942,0.0013301749333832,14,gridsearch,D2,AutoML
clustering_KiralyMSMApproximateClustering,0.0047065449543215,0.0003573012444463,15,gridsearch,D2,AutoML
clustering_UniqueMappingClustering,0.0108048502903282,0.0001555908721342,16,gridsearch,D2,AutoML
lm_fasttext,-0.0059977781143925,0.0005277979746967,17,gridsearch,D2,AutoML
lm_sdistilroberta,-0.0018591467391749,8.240030797926127e-05,18,gridsearch,D2,AutoML
lm_sent_glove,0.0169310499787328,0.0004123418158667,19,gridsearch,D2,AutoML
lm_sminilm,-0.0023111107827826,0.0002665054869732,20,gridsearch,D2,AutoML
lm_smpnet,-0.0009085593359471,4.223133257307512e-05,21,gridsearch,D2,AutoML
lm_st5,-0.004314633470251,0.0001945550253232,22,gridsearch,D2,AutoML
lm_word2vec,-0.0087645941464457,0.0001511779560676,23,gridsearch,D2,AutoML
k,-3.009185147906379e-05,0.0001606759943471,0,gridsearch,D8,AutoML
threshold,-0.0196399046463636,0.0030440226989727,1,gridsearch,D8,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D8,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D8,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D8,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D8,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D8,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D8,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D8,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D8,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D8,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D8,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D8,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D8,AutoML
clustering_ConnectedComponentsClustering,0.6550077390787653,0.006604606638916,14,gridsearch,D8,AutoML
clustering_KiralyMSMApproximateClustering,-0.0611504128647094,0.0026102683460926,15,gridsearch,D8,AutoML
clustering_UniqueMappingClustering,-0.0441741059317489,0.001258037997923,16,gridsearch,D8,AutoML
lm_fasttext,-0.0386951877280507,0.0025146132703977,17,gridsearch,D8,AutoML
lm_sdistilroberta,-0.0095234679379267,0.0005280231141334,18,gridsearch,D8,AutoML
lm_sent_glove,0.08976483327544,0.0035996120113389,19,gridsearch,D8,AutoML
lm_sminilm,0.038476837967398,0.0012662194451695,20,gridsearch,D8,AutoML
lm_smpnet,0.0018175295322906,0.0001703722535422,21,gridsearch,D8,AutoML
lm_st5,0.0398979096440422,0.0002644890845283,22,gridsearch,D8,AutoML
lm_word2vec,0.0577431752580327,0.0049392400315629,23,gridsearch,D8,AutoML
k,1.891326840270935e-05,2.71218544968039e-05,0,gridsearch,D1,AutoML
threshold,-0.0119517761372596,0.0011551096520834,1,gridsearch,D1,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D1,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D1,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D1,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D1,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D1,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D1,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D1,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D1,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D1,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D1,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D1,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D1,AutoML
clustering_ConnectedComponentsClustering,0.202973087630764,0.0093197518701572,14,gridsearch,D1,AutoML
clustering_KiralyMSMApproximateClustering,-0.0127444956103052,0.0009025197720956,15,gridsearch,D1,AutoML
clustering_UniqueMappingClustering,-0.0129940510600591,0.0003115622684874,16,gridsearch,D1,AutoML
lm_fasttext,0.0634070661545904,0.0025442828153717,17,gridsearch,D1,AutoML
lm_sdistilroberta,-0.00408571680015,0.0002734139997597,18,gridsearch,D1,AutoML
lm_sent_glove,-0.0302745180870911,0.0019251152999275,19,gridsearch,D1,AutoML
lm_sminilm,0.0043364522320665,0.0004043566361028,20,gridsearch,D1,AutoML
lm_smpnet,-0.0066226846134788,0.0005010054668762,21,gridsearch,D1,AutoML
lm_st5,0.0022767802942999,0.0006526227061146,22,gridsearch,D1,AutoML
lm_word2vec,-0.0001045383695841,0.0007860932695502,23,gridsearch,D1,AutoML
k,2.2587520922567884e-05,5.457679328149304e-05,0,gridsearch,D7,AutoML
threshold,-0.0093103494517729,0.0007251488250569,1,gridsearch,D7,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D7,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D7,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D7,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D7,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D7,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D7,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D7,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D7,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D7,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D7,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D7,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D7,AutoML
clustering_ConnectedComponentsClustering,0.233397932171231,0.0045305251468631,14,gridsearch,D7,AutoML
clustering_KiralyMSMApproximateClustering,0.0004439585414968,0.0004401087124052,15,gridsearch,D7,AutoML
clustering_UniqueMappingClustering,-0.0084090393544333,0.0002258325643534,16,gridsearch,D7,AutoML
lm_fasttext,0.0492563303983916,0.0016542941560826,17,gridsearch,D7,AutoML
lm_sdistilroberta,-0.0102497052075158,0.0002427788029441,18,gridsearch,D7,AutoML
lm_sent_glove,0.0008783708447743,0.0005510828965095,19,gridsearch,D7,AutoML
lm_sminilm,-0.0047256446261559,0.0002216600884187,20,gridsearch,D7,AutoML
lm_smpnet,0.0050746749238981,0.0001168493914764,21,gridsearch,D7,AutoML
lm_st5,0.0019646045269215,0.0005297140694935,22,gridsearch,D7,AutoML
lm_word2vec,0.0111473760133899,0.0004755291948344,23,gridsearch,D7,AutoML
k,0.0001051249590373,5.140470022862557e-06,0,gridsearch,D5,AutoML
threshold,0.0116018654058932,0.0004323503008709,1,gridsearch,D5,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D5,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D5,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D5,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D5,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D5,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D5,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D5,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D5,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D5,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D5,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D5,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D5,AutoML
clustering_ConnectedComponentsClustering,0.1590750544199077,0.0016020295790839,14,gridsearch,D5,AutoML
clustering_KiralyMSMApproximateClustering,0.0003178019754599,0.0003844850536922,15,gridsearch,D5,AutoML
clustering_UniqueMappingClustering,-0.0067552204236543,0.0005422195299557,16,gridsearch,D5,AutoML
lm_fasttext,0.0145667336304807,0.0008660021284944,17,gridsearch,D5,AutoML
lm_sdistilroberta,0.0013166835482093,9.644800796310891e-05,18,gridsearch,D5,AutoML
lm_sent_glove,-0.0124433192889565,0.0002691170283767,19,gridsearch,D5,AutoML
lm_sminilm,-0.0001066358916389,8.644461352936195e-05,20,gridsearch,D5,AutoML
lm_smpnet,-0.0001655556243317,8.720814674190904e-05,21,gridsearch,D5,AutoML
lm_st5,0.0120011449108083,0.0002631242023187,22,gridsearch,D5,AutoML
lm_word2vec,-0.007136093089847,0.0001578254407354,23,gridsearch,D5,AutoML
k,3.7328326067509465e-05,2.2045087533362496e-05,0,gridsearch,D4,AutoML
threshold,0.0259761362228911,0.0006534307307648,1,gridsearch,D4,AutoML
InputEntityProfiles,0.0,0.0,2,gridsearch,D4,AutoML
NumberOfAttributes,0.0,0.0,3,gridsearch,D4,AutoML
NumberOfDistinctValues,0.0,0.0,4,gridsearch,D4,AutoML
NumberOfNameValuePairs,0.0,0.0,5,gridsearch,D4,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,gridsearch,D4,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,gridsearch,D4,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,gridsearch,D4,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,gridsearch,D4,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,gridsearch,D4,AutoML
AverageValueLength,0.0,0.0,11,gridsearch,D4,AutoML
AverageValueTokens,0.0,0.0,12,gridsearch,D4,AutoML
MaxValuesPerEntity,0.0,0.0,13,gridsearch,D4,AutoML
clustering_ConnectedComponentsClustering,0.3970054440187944,0.0029029409611234,14,gridsearch,D4,AutoML
clustering_KiralyMSMApproximateClustering,-0.0550403730483557,0.0008595639183556,15,gridsearch,D4,AutoML
clustering_UniqueMappingClustering,-0.0705523286932163,0.0005359756035049,16,gridsearch,D4,AutoML
lm_fasttext,0.0132065938551519,0.0005925011479267,17,gridsearch,D4,AutoML
lm_sdistilroberta,-0.0039640260992384,0.0001316827067532,18,gridsearch,D4,AutoML
lm_sent_glove,-0.0050011123538243,0.0006942438915891,19,gridsearch,D4,AutoML
lm_sminilm,-0.0032346863721135,0.0001583845216427,20,gridsearch,D4,AutoML
lm_smpnet,0.0017718113854129,0.000105111452992,21,gridsearch,D4,AutoML
lm_st5,0.0091627208560224,0.0006624314397508,22,gridsearch,D4,AutoML
lm_word2vec,-0.0014881476014834,0.0005816187986813,23,gridsearch,D4,AutoML
