FEATURE,IMPORTANCE,STD,RANK,DATASET,TEST_SET,REGRESSOR
lm_st5,0.0245073369042573,0.000475390206379,22,optuna,D3,AutoML
lm_word2vec,0.0006332889720088,1.6813380383950524e-05,23,optuna,D3,AutoML
k,-4.635284341887313e-05,9.52042304444059e-05,0,optuna,D9,AutoML
threshold,0.0777762035511423,0.0013779424907233,1,optuna,D9,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D9,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D9,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D9,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D9,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D9,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D9,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D9,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D9,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D9,AutoML
AverageValueLength,0.0,0.0,11,optuna,D9,AutoML
AverageValueTokens,0.0,0.0,12,optuna,D9,AutoML
MaxValuesPerEntity,0.0,0.0,13,optuna,D9,AutoML
clustering_ConnectedComponentsClustering,0.1011138489859147,0.0009625453816011,14,optuna,D9,AutoML
clustering_KiralyMSMApproximateClustering,0.0011392969316587,0.0001283618754401,15,optuna,D9,AutoML
clustering_UniqueMappingClustering,0.0004163169769818,0.0001123518968943,16,optuna,D9,AutoML
lm_fasttext,0.0013430865560232,2.339252595476613e-05,17,optuna,D9,AutoML
lm_sdistilroberta,-0.0045989919778264,5.6658748645232536e-05,18,optuna,D9,AutoML
lm_sent_glove,-0.0054873076294553,6.147301586685933e-05,19,optuna,D9,AutoML
lm_sminilm,-0.0126019752343375,8.676801064175358e-05,20,optuna,D9,AutoML
lm_smpnet,-0.0145724273283643,0.000175939593591,21,optuna,D9,AutoML
lm_st5,0.0453685950337318,0.0015120715883303,22,optuna,D9,AutoML
lm_word2vec,-0.0033189846445987,2.902768110486641e-05,23,optuna,D9,AutoML
k,0.0013550303348407,6.565219509480277e-05,0,optuna,D2,AutoML
threshold,0.0013998271427145,0.0002218508685403,1,optuna,D2,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D2,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D2,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D2,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D2,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D2,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D2,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D2,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D2,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D2,AutoML
AverageValueLength,0.0,0.0,11,optuna,D2,AutoML
AverageValueTokens,0.0,0.0,12,optuna,D2,AutoML
MaxValuesPerEntity,0.0,0.0,13,optuna,D2,AutoML
clustering_ConnectedComponentsClustering,0.1112543338469433,0.0014977146104483,14,optuna,D2,AutoML
clustering_KiralyMSMApproximateClustering,0.0023709191081302,9.666891561435936e-05,15,optuna,D2,AutoML
clustering_UniqueMappingClustering,0.004046460743994,5.722461664024412e-05,16,optuna,D2,AutoML
lm_fasttext,0.0014377266933235,3.187826448225981e-05,17,optuna,D2,AutoML
lm_sdistilroberta,-4.918260129622709e-05,5.945666680400109e-06,18,optuna,D2,AutoML
lm_sent_glove,0.0004285296055844,9.571749033923452e-06,19,optuna,D2,AutoML
lm_sminilm,0.0011702022484243,3.702289456154381e-05,20,optuna,D2,AutoML
lm_smpnet,-0.0001447316168218,1.155405226705357e-05,21,optuna,D2,AutoML
lm_st5,0.0123135450980101,0.0002211884439191,22,optuna,D2,AutoML
lm_word2vec,1.0063501512713734e-05,9.889614649627058e-06,23,optuna,D2,AutoML
k,0.0006085318282234,0.0001137285188529,0,optuna,D8,AutoML
threshold,-0.0109090274013327,0.0007206734669842,1,optuna,D8,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D8,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D8,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D8,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D8,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D8,AutoML
