Feature,Importance,Std,Rank
k,0.0018320667460105743,0.0006805061556679614,0
threshold,0.2850659218491172,0.002980111076215833,1
clustering_ConnectedComponentsClustering,0.05980189288353939,0.004494563526297754,2
clustering_KiralyMSMApproximateClustering,0.17954726572458846,0.0027102231276734242,3
clustering_UniqueMappingClustering,0.03962969381809382,0.0020965685416115386,4
lm_fasttext,-9.841829348020693e-05,8.939627425123404e-05,5
lm_sdistilroberta,0.0002567705746667981,0.00014427311960401207,6
lm_sent_glove,-0.03798989782530311,0.0017034532133010972,7
lm_sminilm,0.04731692984674256,0.0023930983415182995,8
lm_smpnet,-0.008921621573581695,0.00033498054579096653,9
lm_st5,0.0015542451315814442,0.0001592316666181772,10
lm_word2vec,0.0012951424604259244,0.0001630179484324711,11
