Feature,Importance,Std,Rank
k,0.0019889185524273323,0.003563775578498775,0
threshold,0.0186636821349088,0.0005252084266777644,1
clustering_ConnectedComponentsClustering,0.09521672753325747,0.0007794958417358049,2
clustering_KiralyMSMApproximateClustering,0.06316494291538882,0.0007649588732266076,3
clustering_UniqueMappingClustering,0.03095888402674727,0.00041083669617171157,4
lm_fasttext,0.04497719987696205,0.0003539116113299333,5
lm_sdistilroberta,-0.0037421881116495694,0.00014781601407194814,6
lm_sent_glove,0.012255365946323626,0.00041212363483126327,7
lm_sminilm,0.012259130480634229,0.00042610751256448045,8
lm_smpnet,-0.003920889141028594,8.011750812851933e-05,9
lm_st5,0.004308142700038831,0.00011079479702395323,10
lm_word2vec,0.02357879768021647,0.0009387612829380771,11
