trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
0,D9,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,gps,16,68.8688,65.9445,67.3749,15.1879
1,D9,KiralyMSMApproximateClustering,smpnet,45,0.47481738416773445,gps,16,89.5833,91.2912,90.4292,17.23
2,D9,KiralyMSMApproximateClustering,fasttext,66,0.4711965326419649,gps,16,16.1723,9.922,12.2986,42.8675
3,D9,UniqueMappingClustering,fasttext,58,0.2943416959598126,gps,16,10.2965,11.1352,10.6994,40.0465
4,D9,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,gps,16,98.2897,42.331,59.1763,23.7525
0,D9,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,gps,16,68.8688,65.9445,67.3749,12.3741
1,D9,KiralyMSMApproximateClustering,smpnet,45,0.47481738416773445,gps,16,89.5833,91.2912,90.4292,17.0517
2,D9,KiralyMSMApproximateClustering,fasttext,66,0.4711965326419649,gps,16,16.1723,9.922,12.2986,42.2627
3,D9,UniqueMappingClustering,fasttext,58,0.2943416959598126,gps,16,10.2965,11.1352,10.6994,40.266
4,D9,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,gps,16,98.2897,42.331,59.1763,23.7176
5,D9,KiralyMSMApproximateClustering,st5,73,0.22924636895423378,gps,16,92.9021,95.8406,94.3485,45.7688
6,D9,KiralyMSMApproximateClustering,smpnet,75,0.41038069916451475,gps,16,89.6214,91.2912,90.4486,29.226
7,D9,UniqueMappingClustering,word2vec,11,0.16050713565217573,gps,16,63.2661,67.9809,65.5388,8.3373
8,D9,ConnectedComponentsClustering,smpnet,27,0.867117980377068,gps,16,98.1875,68.0676,80.3992,13.6607
9,D9,UniqueMappingClustering,smpnet,90,0.6531767268315849,gps,16,88.6439,92.331,90.4499,20.05
0,D9,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,gps,16,68.8688,65.9445,67.3749,12.1697
1,D9,KiralyMSMApproximateClustering,smpnet,45,0.47481738416773445,gps,16,89.5833,91.2912,90.4292,18.3202
2,D9,KiralyMSMApproximateClustering,fasttext,66,0.4711965326419649,gps,16,16.1723,9.922,12.2986,41.479
3,D9,UniqueMappingClustering,fasttext,58,0.2943416959598126,gps,16,10.2965,11.1352,10.6994,40.3841
4,D9,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,gps,16,98.2897,42.331,59.1763,26.0579
5,D9,KiralyMSMApproximateClustering,st5,73,0.22924636895423378,gps,16,92.9021,95.8406,94.3485,48.0528
6,D9,KiralyMSMApproximateClustering,smpnet,75,0.41038069916451475,gps,16,89.6214,91.2912,90.4486,29.6737
7,D9,UniqueMappingClustering,word2vec,11,0.16050713565217573,gps,16,63.2661,67.9809,65.5388,8.6557
8,D9,ConnectedComponentsClustering,smpnet,27,0.867117980377068,gps,16,98.1875,68.0676,80.3992,14.6087
9,D9,UniqueMappingClustering,smpnet,90,0.6531767268315849,gps,16,88.6439,92.331,90.4499,19.2187
10,D9,KiralyMSMApproximateClustering,smpnet,1,0.41298522516912683,gps,16,86.6721,92.4177,89.4527,5.4131
11,D9,UniqueMappingClustering,smpnet,1,0.9499999999999998,gps,16,98.1834,49.1768,65.5312,4.1689
12,D9,UniqueMappingClustering,smpnet,100,0.05,gps,16,84.8172,92.461,88.4743,74.6166
13,D9,KiralyMSMApproximateClustering,st5,100,0.95,gps,16,98.6667,41.6811,58.6049,24.1099
14,D9,KiralyMSMApproximateClustering,st5,44,0.05,gps,16,92.8631,95.8406,94.3284,33.4599
