trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
0,D7,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,tpe,16,30.2901,64.8402,41.2911,2.975
1,D7,KiralyMSMApproximateClustering,smpnet,45,0.47481738416773445,tpe,16,36.0662,89.589,51.4286,3.8306
2,D7,KiralyMSMApproximateClustering,fasttext,66,0.4711965326419649,tpe,16,28.9754,64.5662,40.0,7.0352
3,D7,UniqueMappingClustering,fasttext,58,0.2943416959598126,tpe,16,17.1402,66.1187,27.2232,6.0712
4,D7,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,tpe,16,64.2857,69.0411,66.5786,4.1974
0,D7,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,tpe,16,30.2901,64.8402,41.2911,2.4671
1,D7,KiralyMSMApproximateClustering,smpnet,45,0.47481738416773445,tpe,16,36.0662,89.589,51.4286,3.9153
2,D7,KiralyMSMApproximateClustering,fasttext,66,0.4711965326419649,tpe,16,28.9754,64.5662,40.0,6.5855
3,D7,UniqueMappingClustering,fasttext,58,0.2943416959598126,tpe,16,17.1402,66.1187,27.2232,6.2656
4,D7,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,tpe,16,64.2857,69.0411,66.5786,4.4661
5,D7,KiralyMSMApproximateClustering,st5,73,0.22924636895423378,tpe,16,30.9569,89.2237,45.9657,7.6622
6,D7,KiralyMSMApproximateClustering,smpnet,75,0.41038069916451475,tpe,16,34.4452,89.589,49.7591,6.8392
7,D7,UniqueMappingClustering,word2vec,11,0.16050713565217573,tpe,16,20.2068,66.0274,30.9437,1.8058
8,D7,ConnectedComponentsClustering,smpnet,27,0.867117980377068,tpe,16,61.5754,58.5388,60.0187,2.7427
9,D7,UniqueMappingClustering,smpnet,90,0.6531767268315849,tpe,16,52.2234,87.9452,65.5325,3.7907
0,D7,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,tpe,16,30.2901,64.8402,41.2911,2.4865
