trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,11.2233
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,5.5329
5,D9,UniqueMappingClustering,sminilm,44,0.5243046510147403,tpe,16,87.0631,93.8908,90.3481,10.945
6,D9,UniqueMappingClustering,sminilm,20,0.14051661315009667,tpe,16,86.1288,93.8908,89.8425,12.5419
7,D9,ConnectedComponentsClustering,sent_glove,46,0.7395230077261655,tpe,16,96.5458,24.2201,38.7253,16.608
8,D9,KiralyMSMApproximateClustering,sent_glove,36,0.8930100289048913,tpe,16,96.875,9.4021,17.1406,8.2105
9,D9,KiralyMSMApproximateClustering,sdistilroberta,18,0.19649528379445302,tpe,16,89.8262,91.8111,90.8078,12.441
10,D9,UniqueMappingClustering,st5,83,0.9433630976698483,tpe,16,98.3005,47.617,64.1565,15.4714
11,D9,BestMatchClustering,smpnet,3,0.29793362444719196,tpe,16,83.0414,90.3813,86.556,3.4839
12,D9,KiralyMSMApproximateClustering,sdistilroberta,72,0.3146127800606803,tpe,16,90.0977,91.8544,90.9676,30.2054
13,D9,UniqueMappingClustering,st5,74,0.35519732022723766,tpe,16,88.2353,96.1872,92.0398,47.03
14,D9,UniqueMappingClustering,st5,98,0.3626005261408972,tpe,16,88.2353,96.1872,92.0398,62.3449
15,D9,UniqueMappingClustering,st5,99,0.3719063900050051,tpe,16,88.2353,96.1872,92.0398,66.4463
16,D9,UniqueMappingClustering,st5,99,0.402063186195049,tpe,16,88.2353,96.1872,92.0398,63.6692
17,D9,UniqueMappingClustering,st5,89,0.220789218538661,tpe,16,88.2353,96.1872,92.0398,59.2918
18,D9,UniqueMappingClustering,smpnet,64,0.4306512457636752,tpe,16,84.8509,92.461,88.4926,19.2978
19,D9,ConnectedComponentsClustering,st5,85,0.6639297408272906,tpe,16,0,0,0,31.3847
20,D9,BestMatchClustering,st5,78,0.4624023895250643,tpe,16,86.8045,94.6274,90.5473,24.6801
21,D9,UniqueMappingClustering,st5,100,0.34766883331372267,tpe,16,88.2353,96.1872,92.0398,65.4495
22,D9,UniqueMappingClustering,st5,91,0.2479770922895381,tpe,16,88.2353,96.1872,92.0398,58.3223
23,D9,UniqueMappingClustering,st5,59,0.34655469171867775,tpe,16,88.2353,96.1872,92.0398,37.3915
24,D9,UniqueMappingClustering,st5,93,0.4071532799902914,tpe,16,88.2353,96.1872,92.0398,61.39
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,11.0643
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,13.4058
2,D9,BestMatchClustering,sent_glove,55,0.09796940450982233,tpe,16,63.4738,69.1941,66.2106,17.183
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,11.2064
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,5.4618
