Feature,Importance
k,0.012286789157862119
threshold,0.1389899903137459
InputEntityProfiles,0.05270237510846876
NumberOfAttributes,0.021725897520307957
NumberOfDistinctValues,0.056289717868141964
NumberOfNameValuePairs,0.03506891274071741
AverageNVPairsPerEntity,0.04265111524328872
AverageDistinctValuesPerEntity,0.04527732162076122
AverageNVpairsPerAttribute,0.07437455264893789
AverageDistinctValuesPerAttribute,0.05739799950888751
NumberOfMissingNVpairs,0.13199065059417897
AverageValueLength,0.024585953311487056
AverageValueTokens,0.024066467764354903
MaxValuesPerEntity,0.01774028001126026
clustering_KiralyMSMApproximateClustering,0.06937200504611027
clustering_UniqueMappingClustering,0.06407921119211425
lm_sdistilroberta,0.009005772845276986
lm_sent_glove,0.010641521246844664
lm_sminilm,0.023852942321967486
lm_smpnet,0.011781066142586498
lm_st5,0.05780797413546273
lm_word2vec,0.018311483657236508
