Feature,Weight
Intercept,41.18597857170965
k,-0.26749501845835216
threshold,-1.705410880968297
InputEntityProfiles,-4432476416594.898
NumberOfAttributes,217515778597.98422
NumberOfDistinctValues,8906690626751.873
NumberOfNameValuePairs,-482645234361.75195
AverageNVPairsPerEntity,-863400581897.0046
AverageDistinctValuesPerEntity,-4461784356282.3955
AverageNVpairsPerAttribute,5963870707771.722
AverageDistinctValuesPerAttribute,-1807514886973.5022
NumberOfMissingNVpairs,-1625600790070.0164
AverageValueLength,-2906440942501.6094
AverageValueTokens,3336723964524.8047
MaxValuesPerEntity,-3179449456270.5146
clustering_KiralyMSMApproximateClustering,10.720190173411801
clustering_UniqueMappingClustering,8.958230750115735
lm_sdistilroberta,7.735220623991476
lm_sent_glove,4.792551062339588
lm_sminilm,10.521399864387824
lm_smpnet,9.288122961967881
lm_st5,12.67403031335387
lm_word2vec,3.2080342016026258
