Feature,Weight
Intercept,52.55711427657205
k,0.1509432532640707
threshold,-1.3280966633513671
InputEntityProfiles,5407139889598.293
NumberOfAttributes,497431456484.3678
NumberOfDistinctValues,-17818176028391.117
NumberOfNameValuePairs,-6001678942182.524
AverageNVPairsPerEntity,-639546882526.6786
AverageDistinctValuesPerEntity,5610836208176.806
AverageNVpairsPerAttribute,13595700298258.23
AverageDistinctValuesPerAttribute,-8154483747996.807
NumberOfMissingNVpairs,16079701594817.195
AverageValueLength,2356353349934.532
AverageValueTokens,-2704760367140.4995
MaxValuesPerEntity,-5950939321340.772
clustering_KiralyMSMApproximateClustering,10.584728057627778
clustering_UniqueMappingClustering,9.56659788965312
lm_sdistilroberta,7.7839031612189755
lm_sent_glove,5.464669069074571
lm_sminilm,11.496509142313522
lm_smpnet,9.86603687511417
lm_st5,16.114165917508462
lm_word2vec,3.814627570315177
