Feature,Weight
Intercept,43.34311243029728
k,-0.3891777215123629
threshold,-1.4625814317434234
InputEntityProfiles,-2109773712576.901
NumberOfAttributes,162677373181.24258
NumberOfDistinctValues,-2579118401734.174
NumberOfNameValuePairs,3933091344514.1543
AverageNVPairsPerEntity,77693608579.81828
AverageDistinctValuesPerEntity,-5288691801305.317
AverageNVpairsPerAttribute,-25652564512587.418
AverageDistinctValuesPerAttribute,30201061970112.06
NumberOfMissingNVpairs,-29056964804.275608
AverageValueLength,4092021338856.1255
AverageValueTokens,-4405217910198.846
MaxValuesPerEntity,1934935320365.3596
clustering_KiralyMSMApproximateClustering,11.019951036912616
clustering_UniqueMappingClustering,9.355906303380928
lm_sdistilroberta,5.610710058978549
lm_sent_glove,3.6346215284662367
lm_sminilm,8.358896541200679
lm_smpnet,7.108508532706822
lm_st5,10.173631811890793
lm_word2vec,2.02703923487307
