Feature,Importance
k,0.0021548924667406967
threshold,0.1293633719951246
InputEntityProfiles,0.03350678982827617
NumberOfAttributes,0.04706722218995369
NumberOfDistinctValues,0.050045785266472485
NumberOfNameValuePairs,0.02764399437945579
AverageNVPairsPerEntity,0.036164521819774226
AverageDistinctValuesPerEntity,0.06665179010285373
AverageNVpairsPerAttribute,0.055003191064830356
AverageDistinctValuesPerAttribute,0.042301492903438466
NumberOfMissingNVpairs,0.09941349028449388
AverageValueLength,0.042975928965738916
AverageValueTokens,0.06198451977032644
MaxValuesPerEntity,0.05280393071849013
clustering_KiralyMSMApproximateClustering,0.07262700333826208
clustering_UniqueMappingClustering,0.062264011696042544
lm_sdistilroberta,0.016657623082179007
lm_sent_glove,0.007243856203558767
lm_sminilm,0.024423800990926996
lm_smpnet,0.019087935650602024
lm_st5,0.037687424582165015
lm_word2vec,0.01292742270029386
