Feature,Weight
Intercept,44.88472051768615
k,-0.3280872395459988
threshold,-0.9825287198356918
InputEntityProfiles,-24.478399535994157
NumberOfAttributes,-30.82782476881018
NumberOfDistinctValues,-20.45758577756416
NumberOfNameValuePairs,-49.518762961743434
AverageNVPairsPerEntity,7.605073591971972
AverageDistinctValuesPerEntity,-14.742821522238028
AverageNVpairsPerAttribute,44.58258163362999
AverageDistinctValuesPerAttribute,56.39642090727125
NumberOfMissingNVpairs,-20.131452933950694
AverageValueLength,-3.751411948285416
AverageValueTokens,-3.6529682245781303
MaxValuesPerEntity,55.19951062314807
clustering_KiralyMSMApproximateClustering,13.095189403311553
clustering_UniqueMappingClustering,11.269187132057443
lm_sdistilroberta,8.26051518599507
lm_sent_glove,5.067853966571219
lm_sminilm,9.906899626970533
lm_smpnet,9.030139960965615
lm_st5,9.97992257198088
lm_word2vec,3.462031381429563
