Feature,Importance
AverageDistinctValuesPerAttribute,0.04944072660074088
AverageDistinctValuesPerEntity,0.05879983239727329
AverageNVPairsPerEntity,0.04410678848161822
AverageNVpairsPerAttribute,0.045337091001242766
AverageValueLength,0.02637264644673465
AverageValueTokens,0.03897218047032144
InputEntityProfiles,0.03856798973867336
MaxValuesPerEntity,0.05224394789004798
NumberOfAttributes,0.06589951125881909
NumberOfDistinctValues,0.025028897322637328
NumberOfMissingNVpairs,0.10110266900704279
NumberOfNameValuePairs,0.029992188948343823
clustering_KiralyMSMApproximateClustering,0.0798979635927739
clustering_UniqueMappingClustering,0.07545333886338898
k,0.002547308699914291
lm_sdistilroberta,0.020693196961145584
lm_sent_glove,0.0
lm_sminilm,0.028942363981578404
lm_smpnet,0.021874757169147118
lm_st5,0.047530891336965524
lm_word2vec,0.013035640878173724
threshold,0.13416006895341684
