Feature,Weight
Intercept,48.5345458377607
k,-0.2562673170636806
threshold,-1.0848209352286586
InputEntityProfiles,6769365463600.472
NumberOfAttributes,-1980116204421.7788
NumberOfDistinctValues,-2909017475104.4844
NumberOfNameValuePairs,-9559865922883.254
AverageNVPairsPerEntity,7223353250749.328
AverageDistinctValuesPerEntity,7912079855361.674
AverageNVpairsPerAttribute,620376760443.9186
AverageDistinctValuesPerAttribute,-17130588288394.244
NumberOfMissingNVpairs,-55565226148771.38
AverageValueLength,-4053653957343.0176
AverageValueTokens,3801379620856.9917
MaxValuesPerEntity,62552458712826.11
clustering_KiralyMSMApproximateClustering,9.447313317521514
clustering_UniqueMappingClustering,8.250638631687185
lm_sdistilroberta,6.002362321283639
lm_sent_glove,4.214401850007479
lm_sminilm,10.303911684981262
lm_smpnet,8.363546318086241
lm_st5,13.187307407933472
lm_word2vec,2.3528787233326462
