Feature,Weight
Intercept,40.40008719680563
k,-0.34554056134905564
threshold,-1.6214286022166409
InputEntityProfiles,-1017340604666.722
NumberOfAttributes,-300641565428.04803
NumberOfDistinctValues,5563347099180.854
NumberOfNameValuePairs,1471116632116.7231
AverageNVPairsPerEntity,537280285909.85254
AverageDistinctValuesPerEntity,-1720811570363.813
AverageNVpairsPerAttribute,-6310894237393.172
AverageDistinctValuesPerAttribute,3952786537570.7856
NumberOfMissingNVpairs,-14397399816752.494
AverageValueLength,-322767505658.6768
AverageValueTokens,363035875656.6772
MaxValuesPerEntity,11709729051608.104
clustering_KiralyMSMApproximateClustering,11.67882721588892
clustering_UniqueMappingClustering,9.89185377415327
lm_sdistilroberta,5.397863930223172
lm_sent_glove,3.2831978524878567
lm_sminilm,7.135477813254477
lm_smpnet,6.358847578857545
lm_st5,7.881081160728094
lm_word2vec,1.8220880669074473
