Feature,Weight
Intercept,50.744615035367026
k,-0.307058589869123
threshold,-1.9371912534159312
InputEntityProfiles,-181.2272182582474
NumberOfAttributes,28.07176820553314
NumberOfDistinctValues,-72.46419088757735
NumberOfNameValuePairs,-216.17258808151638
AverageNVPairsPerEntity,-29.43462536464888
AverageDistinctValuesPerEntity,-232.40234088776037
AverageNVpairsPerAttribute,730.696680546406
AverageDistinctValuesPerAttribute,-156.79975199720826
NumberOfMissingNVpairs,-142.43383624667527
AverageValueLength,-310.11794832950125
AverageValueTokens,339.5577043558673
MaxValuesPerEntity,206.5978753360387
clustering_KiralyMSMApproximateClustering,12.73656442955345
clustering_UniqueMappingClustering,11.474196684287618
lm_sdistilroberta,8.26787968524306
lm_sent_glove,5.055353519953959
lm_sminilm,12.419191961836045
lm_smpnet,10.537812714687803
lm_st5,16.23294899756023
lm_word2vec,3.9110317385225057
