Feature,Weight
Intercept,42.1142917056633
k,-0.2765882412467683
threshold,-1.5365572968568202
InputEntityProfiles,-196.88452637796044
NumberOfAttributes,19.245658948770387
NumberOfDistinctValues,-147.27343725801316
NumberOfNameValuePairs,-63.49793403583247
AverageNVPairsPerEntity,62.45624247502772
AverageDistinctValuesPerEntity,-204.7705950215204
AverageNVpairsPerAttribute,327.84573187140023
AverageDistinctValuesPerAttribute,140.7265258281128
NumberOfMissingNVpairs,-52.64162852673957
AverageValueLength,-245.7885157991332
AverageValueTokens,265.37417351217863
MaxValuesPerEntity,59.967975841773324
clustering_KiralyMSMApproximateClustering,12.352448799714518
clustering_UniqueMappingClustering,10.874991828544905
lm_sdistilroberta,7.878428919407281
lm_sent_glove,4.290689638171007
lm_sminilm,9.261248526883115
lm_smpnet,8.509420856816012
lm_st5,9.93746444466474
lm_word2vec,3.388445445283006
