Feature,Weight
Intercept,42.47714186707688
k,-0.2696052248110957
threshold,-2.892306038955706
InputEntityProfiles,1548095443326.3855
NumberOfAttributes,-439968225907.1586
NumberOfDistinctValues,-6637145625739.372
NumberOfNameValuePairs,4143365320063.6016
AverageNVPairsPerEntity,2930660269058.7603
AverageDistinctValuesPerEntity,636786190489.9136
AverageNVpairsPerAttribute,-11544360694090.04
AverageDistinctValuesPerAttribute,8258068698320.661
NumberOfMissingNVpairs,-5132357124584.345
AverageValueLength,-440838357241.3721
AverageValueTokens,288265809633.3359
MaxValuesPerEntity,6779170051486.564
clustering_KiralyMSMApproximateClustering,12.510893836888357
clustering_UniqueMappingClustering,11.134769791135529
lm_sdistilroberta,7.302417781168026
lm_sent_glove,4.555234566665074
lm_sminilm,9.120727043056451
lm_smpnet,8.279143374502338
lm_st5,10.140935546581384
lm_word2vec,3.2890748364065776
