Feature,Weight
Intercept,52.905651804274754
k,0.03967917687626518
threshold,-0.49037558312591356
InputEntityProfiles,8251534597652.925
NumberOfAttributes,-4769589057654.616
NumberOfDistinctValues,2740246987914.519
NumberOfNameValuePairs,-2289704229565.6763
AverageNVPairsPerEntity,3650737348215.286
AverageDistinctValuesPerEntity,-430884498602.9388
AverageNVpairsPerAttribute,-43954123642093.95
AverageDistinctValuesPerAttribute,33628915646940.562
NumberOfMissingNVpairs,853293939646.4958
AverageValueLength,-8502523117750.642
AverageValueTokens,7604516023215.691
MaxValuesPerEntity,694879004295.8313
clustering_KiralyMSMApproximateClustering,10.654293906539225
clustering_UniqueMappingClustering,9.296990101017421
lm_sdistilroberta,8.584605253128519
lm_sent_glove,5.992027344885629
lm_sminilm,12.99892768792098
lm_smpnet,11.046158208189864
lm_st5,15.343921521686998
lm_word2vec,3.8633798926166896
