Feature,Weight
Intercept,45.276471116651706
k,-0.3548264096870386
threshold,-2.3165329630202427
InputEntityProfiles,432412818.1450456
NumberOfAttributes,-8740123095.779062
NumberOfDistinctValues,318274494934.53033
NumberOfNameValuePairs,-118971638570.04625
AverageNVPairsPerEntity,-29109697560.3014
AverageDistinctValuesPerEntity,55873557802.16726
AverageNVpairsPerAttribute,-114004638513.92523
AverageDistinctValuesPerAttribute,-36817922510.65428
NumberOfMissingNVpairs,-633121494183.7866
AverageValueLength,177968953121.5602
AverageValueTokens,-194099374472.4012
MaxValuesPerEntity,572038242748.1066
clustering_KiralyMSMApproximateClustering,13.25738451983598
clustering_UniqueMappingClustering,11.768345137627275
lm_sdistilroberta,7.999206736803348
lm_sent_glove,4.735022582199369
lm_sminilm,10.61091652787206
lm_smpnet,9.367503664027312
lm_st5,12.856770479649953
lm_word2vec,3.6582375058794008
