Feature,Weight
Intercept,47.427918101355075
k,-0.27822033945834157
threshold,-1.9881348466225686
InputEntityProfiles,1269480842594.505
NumberOfAttributes,292201310200.42194
NumberOfDistinctValues,-17638827873713.977
NumberOfNameValuePairs,2921927158687.3623
AverageNVPairsPerEntity,632577599894.7765
AverageDistinctValuesPerEntity,-469962678975.7107
AverageNVpairsPerAttribute,-6015636775222.393
AverageDistinctValuesPerAttribute,10060789900700.95
NumberOfMissingNVpairs,23771911884942.85
AverageValueLength,687169585846.5865
AverageValueTokens,-697656634015.7516
MaxValuesPerEntity,-12966770497381.58
clustering_KiralyMSMApproximateClustering,11.87796623428566
clustering_UniqueMappingClustering,10.26091922903891
lm_sdistilroberta,7.377911847632261
lm_sent_glove,4.926562561395819
lm_sminilm,10.1942140285453
lm_smpnet,8.999867399597122
lm_st5,12.18160797795939
lm_word2vec,3.2333404021806595
