Feature,Weight
Intercept,47.80581776458223
k,-0.22884102559715472
threshold,-0.8212497994805883
InputEntityProfiles,-20086568576609.97
NumberOfAttributes,4028674857891.701
NumberOfDistinctValues,-7842738280682.572
NumberOfNameValuePairs,16258900284614.422
AverageNVPairsPerEntity,-2271269960590.1445
AverageDistinctValuesPerEntity,-1206777288152.939
AverageNVpairsPerAttribute,12250538235608.389
AverageDistinctValuesPerAttribute,911934501998.2142
NumberOfMissingNVpairs,2831342617368.849
AverageValueLength,8962834639507.432
AverageValueTokens,-8142766171206.854
MaxValuesPerEntity,-4700561731288.929
clustering_KiralyMSMApproximateClustering,12.372714684661476
clustering_UniqueMappingClustering,10.614936847877207
lm_sdistilroberta,8.371095561877977
lm_sent_glove,5.401995232537761
lm_sminilm,11.066652333328156
lm_smpnet,9.7712094672974
lm_st5,12.260249135597315
lm_word2vec,3.6020538679073075
