Feature,Weight
Intercept,44.25989914273047
k,-0.33611847123843447
threshold,-2.1179720494132646
InputEntityProfiles,-896381778763.4326
NumberOfAttributes,106251467123.69698
NumberOfDistinctValues,3274203060749.5503
NumberOfNameValuePairs,-897643601437.9554
AverageNVPairsPerEntity,-235153792280.82227
AverageDistinctValuesPerEntity,-954356693099.5023
AverageNVpairsPerAttribute,810969720737.4713
AverageDistinctValuesPerAttribute,-468454790844.60846
NumberOfMissingNVpairs,4217308752632.177
AverageValueLength,-730644138384.2281
AverageValueTokens,846464960944.9226
MaxValuesPerEntity,-5288846674767.825
clustering_KiralyMSMApproximateClustering,12.518100295105015
clustering_UniqueMappingClustering,10.834876410601167
lm_sdistilroberta,7.21656048518114
lm_sent_glove,4.556370214754138
lm_sminilm,8.995521986103952
lm_smpnet,8.240980175856864
lm_st5,9.668823886068399
lm_word2vec,3.066146524226474
