Feature,Importance
k,0.025950763357544707
threshold,0.11762068520824057
InputEntityProfiles,0.06645316452387469
NumberOfAttributes,0.04863871520939446
NumberOfDistinctValues,0.03797576213010162
NumberOfNameValuePairs,0.02013512399731398
AverageNVPairsPerEntity,0.04839624931113581
AverageDistinctValuesPerEntity,0.05982477367999197
AverageNVpairsPerAttribute,0.05855986653667521
AverageDistinctValuesPerAttribute,0.027508039599910238
NumberOfMissingNVpairs,0.08145299335839601
AverageValueLength,0.02983072087364131
AverageValueTokens,0.021344044377898184
MaxValuesPerEntity,0.06798435434433363
clustering_KiralyMSMApproximateClustering,0.05413380767893996
clustering_UniqueMappingClustering,0.04899861139461009
lm_sdistilroberta,0.011696769785564073
lm_sent_glove,0.015211052284837698
lm_sminilm,0.026253151868659425
lm_smpnet,0.01707218347731954
lm_st5,0.09422237579505659
lm_word2vec,0.020736791206560162
