Feature,Weight
Intercept,47.29203156010883
k,-0.16641999719604317
threshold,-1.6526449594135695
InputEntityProfiles,4343313573656.072
NumberOfAttributes,-1317004326632.496
NumberOfDistinctValues,-7643874006127.079
NumberOfNameValuePairs,3733665302047.359
AverageNVPairsPerEntity,5107895256075.54
AverageDistinctValuesPerEntity,1461621212633.5078
AverageNVpairsPerAttribute,-22008323876644.2
AverageDistinctValuesPerAttribute,12774682596721.598
NumberOfMissingNVpairs,-23914637699157.14
AverageValueLength,152348930713.96613
AverageValueTokens,-513699960570.846
MaxValuesPerEntity,28188412159539.41
clustering_KiralyMSMApproximateClustering,12.247034787785358
clustering_UniqueMappingClustering,10.87914388942454
lm_sdistilroberta,7.63652605131946
lm_sent_glove,4.844258663577079
lm_sminilm,9.942378856927714
lm_smpnet,8.85351391254491
lm_st5,12.655321511718542
lm_word2vec,3.536071609431997
