Feature,Weight
Intercept,50.23091413270553
k,0.12204542645995853
threshold,-1.2122373940875693
InputEntityProfiles,19280780549221.07
NumberOfAttributes,-785865007226.2439
NumberOfDistinctValues,-31923406686234.016
NumberOfNameValuePairs,-27482828779180.875
AverageNVPairsPerEntity,9758753493690.674
AverageDistinctValuesPerEntity,11655900366090.988
AverageNVpairsPerAttribute,-5880696261034.979
AverageDistinctValuesPerAttribute,289481699148.4495
NumberOfMissingNVpairs,8305211095405.915
AverageValueLength,-632045757298.9944
AverageValueTokens,-305228401760.5405
MaxValuesPerEntity,23209392759941.79
clustering_KiralyMSMApproximateClustering,10.07754240619444
clustering_UniqueMappingClustering,8.937487775458463
lm_sdistilroberta,7.963155959521077
lm_sent_glove,5.224996012305681
lm_sminilm,11.60722620575853
lm_smpnet,10.240664422175644
lm_st5,15.993598836085717
lm_word2vec,3.7638881513215394
