Feature,Weight
Intercept,43.628082279335004
AverageDistinctValuesPerAttribute,-85414802130.90271
AverageDistinctValuesPerEntity,-1696565104631.3833
AverageNVPairsPerEntity,-1423545521735.245
AverageNVpairsPerAttribute,1578213814589.0752
AverageValueLength,-436974606064.72046
AverageValueTokens,476934441026.3712
InputEntityProfiles,-2591150551555.6533
MaxValuesPerEntity,1882814134447.3494
NumberOfAttributes,88909350371.22195
NumberOfDistinctValues,3761984520496.638
NumberOfMissingNVpairs,-5334173473046.724
NumberOfNameValuePairs,2977409988451.0435
clustering_KiralyMSMApproximateClustering,12.301362005026244
clustering_UniqueMappingClustering,10.46391346714821
k,-0.3197435589403347
lm_sdistilroberta,4.828216037773353
lm_sent_glove,18558670360.30429
lm_sminilm,6.456586450338364
lm_smpnet,5.735605955123901
lm_st5,7.170146107673645
lm_word2vec,0.6860935688018799
threshold,-1.3168883323669434
