Feature,Weight
Intercept,46.62326654344619
k,-0.32363664577243295
threshold,-1.1726057158301728
InputEntityProfiles,248110845640.93958
NumberOfAttributes,-281050981789.6287
NumberOfDistinctValues,-2853963284328.869
NumberOfNameValuePairs,1704919857103.823
AverageNVPairsPerEntity,191534539995.9854
AverageDistinctValuesPerEntity,364249788428.3379
AverageNVpairsPerAttribute,-2304880707671.071
AverageDistinctValuesPerAttribute,2086167180466.3765
NumberOfMissingNVpairs,-15311512421603.605
AverageValueLength,-202765619190.39764
AverageValueTokens,33760252109.048515
MaxValuesPerEntity,16210708605565.043
clustering_KiralyMSMApproximateClustering,11.932534088604736
clustering_UniqueMappingClustering,10.074048994630518
lm_sdistilroberta,7.326484906658879
lm_sent_glove,4.943428000829142
lm_sminilm,9.813773036816507
lm_smpnet,8.865869807652295
lm_st5,12.052089949560575
lm_word2vec,3.2516082909291346
