Feature,Weight
Intercept,46.624400965051976
k,-0.0671856386402489
threshold,-1.3535005615998421
InputEntityProfiles,-23295125362771.09
NumberOfAttributes,919137488020.3815
NumberOfDistinctValues,51455669060817.06
NumberOfNameValuePairs,33568294023330.906
AverageNVPairsPerEntity,-11758642503461.303
AverageDistinctValuesPerEntity,-14302901474076.223
AverageNVpairsPerAttribute,-5785403974638.353
AverageDistinctValuesPerAttribute,3987720358456.6216
NumberOfMissingNVpairs,-18064168850932.023
AverageValueLength,1967327748155.339
AverageValueTokens,-897538204152.321
MaxValuesPerEntity,-24503787136924.645
clustering_KiralyMSMApproximateClustering,9.380623623726468
clustering_UniqueMappingClustering,8.005821840723781
lm_sdistilroberta,8.002457790164012
lm_sent_glove,5.359257081135095
lm_sminilm,12.514286541960304
lm_smpnet,10.54213065170502
lm_st5,16.21638739184433
lm_word2vec,3.4378234377701937
