Feature,Importance,Std,Rank
k,-0.010778646270031656,0.0006384999324588854,0
threshold,-0.06266496002400034,0.001254301563405438,1
clustering_ConnectedComponentsClustering,0.2958154301195102,0.002797572446662805,2
clustering_KiralyMSMApproximateClustering,0.003323468608546998,0.000292444904515689,3
clustering_UniqueMappingClustering,-0.005318741469921828,0.00018011480226676096,4
lm_fasttext,0.07340247572523888,0.000767929881762105,5
lm_sdistilroberta,-0.0004954350271096586,0.0001347579448280592,6
lm_sent_glove,0.024761625835669144,0.0005427060081083628,7
lm_sminilm,0.01605285704884104,0.0002397926269698594,8
lm_smpnet,0.001331242414171585,0.00024255408793207416,9
lm_st5,0.01410645887340355,0.00038038643251568036,10
lm_word2vec,0.011854051419915934,0.00017207798113253803,11
