trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
1124,D6,KiralyMSMApproximateClustering,sminilm,83,0.7500000000000001,gridsearch,42,62.3836,31.25,41.6408,2.0991194248199463
1125,D6,UniqueMappingClustering,sent_glove,87,0.6000000000000001,gridsearch,42,16.3121,47.2015,24.2453,2.913918972015381
1126,D6,UniqueMappingClustering,smpnet,87,0.3,gridsearch,42,18.3833,76.5858,29.6497,5.675171613693237
1127,D6,ConnectedComponentsClustering,st5,67,0.45,gridsearch,42,0,0,0,2.83162784576416
1128,D6,ConnectedComponentsClustering,sminilm,70,0.8,gridsearch,42,81.4126,20.4291,32.6622,2.8193602561950684
1129,D6,ConnectedComponentsClustering,st5,46,0.1,gridsearch,42,0,0,0,2.4995076656341553
1130,D6,ConnectedComponentsClustering,st5,1,0.6500000000000001,gridsearch,42,42.6655,44.4963,43.5616,0.9313380718231201
1131,D6,KiralyMSMApproximateClustering,sminilm,54,0.05,gridsearch,42,37.1577,73.4142,49.3417,3.897064208984375
1132,D6,ConnectedComponentsClustering,st5,26,0.55,gridsearch,42,0,0,0,1.6643717288970947
1133,D6,KiralyMSMApproximateClustering,st5,91,0.15000000000000002,gridsearch,42,35.8043,66.2313,46.4812,6.4490814208984375
1134,D6,KiralyMSMApproximateClustering,sminilm,48,0.25,gridsearch,42,37.0301,73.5075,49.25,3.519967794418335
1135,D6,BestMatchClustering,sent_glove,29,0.7000000000000001,gridsearch,42,16.8294,33.7687,22.4635,1.13558030128479
1136,D6,ConnectedComponentsClustering,sminilm,69,0.55,gridsearch,42,78.7798,27.7052,40.9938,2.721970319747925
1137,D6,UniqueMappingClustering,sminilm,92,0.15000000000000002,gridsearch,42,16.7396,78.5448,27.5975,6.068147659301758
1138,D6,KiralyMSMApproximateClustering,sminilm,3,0.55,gridsearch,42,50.0,68.3769,57.762,1.1018109321594238
1139,D6,BestMatchClustering,st5,46,0.1,gridsearch,42,8.3637,38.5261,13.7438,2.3395159244537354
1140,D6,UniqueMappingClustering,sminilm,98,0.5,gridsearch,42,31.0412,74.5336,43.8289,2.365804433822632
1141,D6,ConnectedComponentsClustering,sminilm,16,0.1,gridsearch,42,0,0,0,1.3818402290344238
1142,D6,UniqueMappingClustering,st5,97,0.3,gridsearch,42,15.5507,72.5746,25.6132,6.69286322593689
1143,D6,UniqueMappingClustering,sminilm,92,0.45,gridsearch,42,23.5611,77.5187,36.1383,3.1998918056488037
1144,D6,KiralyMSMApproximateClustering,sent_glove,32,0.8,gridsearch,42,40.4,37.6866,38.9961,1.1348071098327637
1145,D6,BestMatchClustering,st5,92,0.3,gridsearch,42,8.1044,38.2463,13.3747,3.6594295501708984
1146,D6,BestMatchClustering,sminilm,73,0.8,gridsearch,42,63.2353,28.0784,38.8889,2.163846254348755
1147,D6,UniqueMappingClustering,st5,53,0.35000000000000003,gridsearch,42,16.0395,72.7612,26.2848,4.169090509414673
1148,D6,ConnectedComponentsClustering,sent_glove,81,0.8500000000000001,gridsearch,42,69.2537,21.6418,32.978,2.9542548656463623
1149,D6,BestMatchClustering,st5,69,0.9000000000000001,gridsearch,42,65.0602,15.1119,24.5269,2.359264612197876
1150,D6,UniqueMappingClustering,sminilm,73,0.2,gridsearch,42,16.9546,78.7313,27.9008,5.0921173095703125
1151,D6,ConnectedComponentsClustering,st5,39,0.2,gridsearch,42,0,0,0,2.0085010528564453
1152,D6,UniqueMappingClustering,st5,19,0.1,gridsearch,42,17.4938,72.6679,28.1991,2.1937460899353027
1153,D6,UniqueMappingClustering,st5,4,0.2,gridsearch,42,23.3235,73.9739,35.4651,1.1792306900024414
1154,D6,BestMatchClustering,sent_glove,32,0.9000000000000001,gridsearch,42,37.7425,19.9627,26.1135,1.2963814735412598
1155,D6,BestMatchClustering,sminilm,10,0.7000000000000001,gridsearch,42,55.2283,34.9813,42.8327,1.0246760845184326
1156,D6,BestMatchClustering,sminilm,30,0.15000000000000002,gridsearch,42,9.9521,44.5896,16.2723,1.74483060836792
1157,D6,ConnectedComponentsClustering,smpnet,87,0.7000000000000001,gridsearch,42,83.2787,23.694,36.8918,3.4717910289764404
