Feature,Importance,Std,Rank
k,-0.0011286789378066708,0.00015385484407126967,0
threshold,0.014367877015461217,0.000206112277556898,1
clustering_KiralyMSMApproximateClustering,0.2865510273028438,0.002641484888587029,2
clustering_UniqueMappingClustering,0.20671506242104262,0.0018495776717263063,3
lm_sdistilroberta,0.11564415486962076,0.0017863613695400812,4
lm_sent_glove,0.0031829598298991567,0.0009567632534650817,5
lm_sminilm,0.16954626896828245,0.0021710079365767354,6
lm_smpnet,0.14821811540630064,0.0014054999714063821,7
lm_st5,0.31132728210014005,0.0027905801415411477,8
lm_word2vec,0.0008928898973803335,0.00035534560854337993,9
