Feature,Importance,Std,Rank
k,0.010394038833671893,0.0005101675812972835,0
threshold,0.0025523673104775437,0.0007970555114527565,1
clustering_KiralyMSMApproximateClustering,0.902117624784242,0.008107068856108972,2
clustering_UniqueMappingClustering,0.3868605177212045,0.004928337779915317,3
lm_sdistilroberta,0.45329772006272995,0.00649202601374353,4
lm_sent_glove,0.25089999279092307,0.004077387637729683,5
lm_sminilm,1.6550059003784494,0.013292702878547955,6
lm_smpnet,1.1433745019113688,0.008170817984793159,7
lm_st5,0.8060012362353669,0.008236927346616215,8
lm_word2vec,0.060337788098742975,0.0020336705902874496,9
