Feature,Importance,Std,Rank
k,0.003686050328468293,0.0005993495066229487,0
threshold,0.06540880355472059,0.0007859709523036286,1
clustering_KiralyMSMApproximateClustering,0.5582985006216086,0.007460539166265369,2
clustering_UniqueMappingClustering,0.4091023703958059,0.005866577330440325,3
lm_sdistilroberta,0.1341567928897446,0.004650001888090088,4
lm_sent_glove,0.14865711852733515,0.004919662049043556,5
lm_sminilm,0.2532991878226582,0.004775114780909217,6
lm_smpnet,0.3110837926031172,0.0064694433201153145,7
lm_st5,2.092677217416199,0.018760461980924122,8
lm_word2vec,0.11902211363040775,0.003146015392902438,9
