Feature,Importance,Std,Rank
k,0.0017783744918511203,9.072837313682152e-05,0
threshold,0.019746274784413143,0.000493454873602015,1
clustering_KiralyMSMApproximateClustering,0.6760127132010343,0.005949114954816595,2
clustering_UniqueMappingClustering,0.3827771802686771,0.003507055861100441,3
lm_sdistilroberta,0.15780825115557767,0.0019912666162606417,4
lm_sent_glove,0.17091741343549782,0.0011333354907367777,5
lm_sminilm,0.5213044055584856,0.0043550034964760405,6
lm_smpnet,0.3280167959744701,0.0030457713713478328,7
lm_st5,0.4888675835378593,0.0038405418586069623,8
lm_word2vec,0.04341859170798161,0.0007147006590435247,9
