Feature,Importance,Std,Rank
k,0.00011846769649284105,5.30961997758365e-05,0
threshold,0.02162387876424483,0.0004830738311540933,1
clustering_KiralyMSMApproximateClustering,0.4665744167475612,0.0024221056485454456,2
clustering_UniqueMappingClustering,0.3938111895885165,0.00236985085012969,3
lm_sdistilroberta,0.17952315313613593,0.0017295731211362784,4
lm_sent_glove,0.11430824069846857,0.0011863653775043767,5
lm_sminilm,0.2599794094653542,0.0028830956033937044,6
lm_smpnet,0.22473733464078172,0.002078043962096529,7
lm_st5,0.4471139066792949,0.0035497667550751016,8
lm_word2vec,0.06964257723566147,0.000690523448356067,9
