Feature,Importance,Std,Rank
k,0.0013747486323275383,0.00015410954515707832,0
threshold,-0.004876716127751068,0.000868119638167668,1
clustering_KiralyMSMApproximateClustering,1.6302927956183257,0.012673316948124312,2
clustering_UniqueMappingClustering,0.8103233385549353,0.011062586693551877,3
lm_sdistilroberta,0.5024241293857393,0.004259810556813467,4
lm_sent_glove,0.2712641938660886,0.002284375844973915,5
lm_sminilm,0.8913336903013237,0.006362137707240588,6
lm_smpnet,0.7608876668525639,0.00755992508641643,7
lm_st5,0.7347754623944696,0.007797568390695328,8
lm_word2vec,0.07097489319110717,0.001779466352783318,9
