Feature,Importance,Std,Rank
k,3.791994271207244e-06,2.7340195353864717e-06,0
threshold,0.020183563832543515,0.0008460739622004304,1
clustering_KiralyMSMApproximateClustering,0.41667497575099705,0.005629467756815437,2
clustering_UniqueMappingClustering,0.35463032927046345,0.006865235444315236,3
lm_sdistilroberta,0.28286226360912653,0.00420219245092646,4
lm_sent_glove,0.2111168906591038,0.004168606054097501,5
lm_sminilm,0.448574776805279,0.010106854765874588,6
lm_smpnet,0.4079874035190583,0.0076046553771104254,7
lm_st5,0.9778769956019275,0.01171562692516608,8
lm_word2vec,0.12226860993930933,0.0012680648311288402,9
