Feature,Importance,Std,Rank
k,0.00020104678616399417,0.000170067942993646,0
threshold,-0.053258329019651815,0.0008869086592387175,1
clustering_KiralyMSMApproximateClustering,2.2170532234568556,0.015198263027044337,2
clustering_UniqueMappingClustering,1.6773204288913615,0.0102475871328385,3
lm_sdistilroberta,0.8936324558595263,0.005178753527227354,4
lm_sent_glove,0.21766566706710372,0.002879911317797629,5
lm_sminilm,1.1401039115004103,0.007573277215092906,6
lm_smpnet,0.9253840220494853,0.008039379406368145,7
lm_st5,1.271607778110182,0.006578329599333218,8
lm_word2vec,0.1734117616263481,0.002012935106696685,9
