feature,importance
clustering_ConnectedComponentsClustering,1.0490552274986065
lm_sminilm,0.0031163030148275705
lm_smpnet,0.0009369714916992011
k,0.00019108055570429272
NumberOfMissingNVpairs,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
AverageValueLength,0.0
AverageValueTokens,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
lm_word2vec,0.0
clustering_UniqueMappingClustering,-0.00028414958813702815
clustering_KiralyMSMApproximateClustering,-0.004774034829912388
lm_st5,-0.028773139031272987
threshold,-0.11708858009182607
