feature,importance
clustering_ConnectedComponentsClustering,0.37738684905369163
lm_sminilm,0.10968720951246906
threshold,0.09134382125443141
lm_st5,0.06669952068002445
clustering_KiralyMSMApproximateClustering,0.0030524731263852577
clustering_UniqueMappingClustering,0.0009347271886794184
AverageValueTokens,0.0
lm_smpnet,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
lm_word2vec,0.0
AverageValueLength,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
k,-0.0006616214453240676
