feature,importance
clustering_ConnectedComponentsClustering,1.1692031213605736
lm_smpnet,0.009687727301869486
clustering_UniqueMappingClustering,0.0038812123923714025
k,0.0012095024224693773
NumberOfMissingNVpairs,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
AverageValueLength,0.0
AverageValueTokens,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
lm_word2vec,0.0
lm_sminilm,-0.013088986214800435
clustering_KiralyMSMApproximateClustering,-0.026433090910578903
lm_st5,-0.1770689228547992
threshold,-0.37739191889061957
