feature,importance
clustering_ConnectedComponentsClustering,0.9185525094622516
threshold,0.6473280085700337
lm_st5,0.022065014081115476
lm_sminilm,0.011282391742213082
clustering_UniqueMappingClustering,0.008311308888379188
k,0.00024990864837715066
lm_smpnet,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
AverageValueTokens,0.0
AverageValueLength,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
lm_word2vec,0.0
clustering_KiralyMSMApproximateClustering,-0.013466314504442422
