feature,importance
lm_st5,0.3409426274342152
threshold,0.3156092159558704
clustering_ConnectedComponentsClustering,0.2912848765946263
lm_smpnet,0.06643343506969093
clustering_KiralyMSMApproximateClustering,0.0029188499727956117
AverageValueTokens,0.0
AverageValueLength,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
lm_word2vec,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
k,-0.0001752603046484502
clustering_UniqueMappingClustering,-0.000596701541634137
lm_sminilm,-0.1736069365915665
