feature,importance
threshold,0.5025697436774628
clustering_ConnectedComponentsClustering,0.3837479395700797
lm_st5,0.20547700416669873
lm_word2vec,0.07841640760216986
lm_sminilm,0.012077151487367977
k,2.3694821784270292e-05
AverageNVPairsPerEntity,0.0
NumberOfDistinctValues,0.0
InputEntityProfiles,0.0
NumberOfAttributes,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
AverageDistinctValuesPerEntity,0.0
AverageValueTokens,0.0
MaxValuesPerEntity,0.0
NumberOfNameValuePairs,0.0
AverageValueLength,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
clustering_UniqueMappingClustering,-0.0013987989486252573
clustering_KiralyMSMApproximateClustering,-0.0026241134326327577
lm_smpnet,-0.007917437118048033
