feature,importance
clustering_ConnectedComponentsClustering,0.45651264876407477
threshold,0.23672716949776743
lm_st5,0.09533827309138883
clustering_UniqueMappingClustering,0.00111765964256334
AverageValueTokens,0.0
AverageValueLength,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
lm_word2vec,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
k,-5.852617939521299e-05
clustering_KiralyMSMApproximateClustering,-0.00011017786964360177
lm_sminilm,-0.007842659051574863
lm_smpnet,-0.010040061980349901
