feature,importance
clustering_ConnectedComponentsClustering,0.8413024133879606
threshold,0.5609382428349023
lm_st5,0.010902673799816132
lm_sminilm,0.0037456433966591264
clustering_UniqueMappingClustering,0.002761247393313493
k,0.00010002904151287239
lm_smpnet,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
AverageValueTokens,0.0
AverageValueLength,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
lm_word2vec,0.0
clustering_KiralyMSMApproximateClustering,-0.01279445113853539
