feature,importance
clustering_ConnectedComponentsClustering,1.1481721790055843
lm_smpnet,0.012100016924669887
clustering_UniqueMappingClustering,0.0015499015882269873
k,0.00024209956250107468
NumberOfMissingNVpairs,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
AverageValueLength,0.0
AverageValueTokens,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
lm_word2vec,0.0
lm_sminilm,-0.006293391017561234
clustering_KiralyMSMApproximateClustering,-0.026909680743472643
lm_st5,-0.180674249522993
threshold,-0.5063478207201157
