trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
81,D8,UniqueMappingClustering,sminilm,12,0.15546875,qmc,4096,22.1698,66.1196,33.2058,3.4307
82,D8,ConnectedComponentsClustering,sent_glove,62,0.60546875,qmc,4096,0.0,0.0,0.0,8.1012
83,D8,KiralyMSMApproximateClustering,sent_glove,87,0.38046874999999997,qmc,4096,16.284,35.7562,22.3771,20.113
84,D8,ConnectedComponentsClustering,sent_glove,37,0.83046875,qmc,4096,34.0909,1.7585,3.3445,5.4538
85,D8,KiralyMSMApproximateClustering,sent_glove,50,0.49296874999999996,qmc,4096,16.2507,35.8734,22.3684,11.6261
86,D8,UniqueMappingClustering,sdistilroberta,100,0.9429687499999999,qmc,4096,63.7615,16.2954,25.957,7.6994
87,D8,KiralyMSMApproximateClustering,smpnet,75,0.26796875,qmc,4096,25.1626,58.9683,35.2735,16.9837
88,D8,UniqueMappingClustering,st5,25,0.7179687499999999,qmc,4096,23.9571,70.6917,35.7864,5.678
89,D8,ConnectedComponentsClustering,st5,18,0.32421874999999994,qmc,4096,0,0,0,3.9452
0,D8,ConnectedComponentsClustering,smpnet,60,0.09503856988537449,qmc,4096,0,0,0,7.8785
1,D8,KiralyMSMApproximateClustering,st5,1,0.05,qmc,4096,26.2273,69.5193,38.0861,1.8907
2,D8,ConnectedComponentsClustering,sdistilroberta,51,0.49999999999999994,qmc,4096,0,0,0,7.4634
3,D8,UniqueMappingClustering,sent_glove,75,0.27499999999999997,qmc,4096,12.446,37.163,18.6471,19.1026
4,D8,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,4096,17.0141,35.4045,22.9833,5.604
5,D8,ConnectedComponentsClustering,smpnet,38,0.38749999999999996,qmc,4096,0,0,0,5.6023
6,D8,ConnectedComponentsClustering,sent_glove,88,0.8374999999999999,qmc,4096,36.1702,1.993,3.7778,12.6425
7,D8,ConnectedComponentsClustering,st5,63,0.16249999999999998,qmc,4096,0,0,0,8.2816
8,D8,UniqueMappingClustering,sdistilroberta,13,0.6125,qmc,4096,22.4398,64.4783,33.293,3.4149
9,D8,KiralyMSMApproximateClustering,smpnet,19,0.33125,qmc,4096,24.6569,58.9683,34.7736,6.0902
10,D8,UniqueMappingClustering,sminilm,69,0.78125,qmc,4096,29.8557,63.0715,40.5273,5.5683
11,D8,UniqueMappingClustering,sdistilroberta,94,0.10625,qmc,4096,21.5348,64.4783,32.2865,23.6934
12,D8,ConnectedComponentsClustering,sdistilroberta,44,0.55625,qmc,4096,50.0,0.1172,0.2339,6.4649
13,D8,ConnectedComponentsClustering,st5,32,0.21875,qmc,4096,0,0,0,4.9531
