trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
0,D10,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,43.3562,21.0077,28.3021,11.7791
1,D10,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,76.4005,17.6574,28.6851,11.5605
2,D10,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,29.067,23.6408,26.0746,21.3297
3,D10,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,16.3216
4,D10,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,51.6225,16.6295,25.1555,11.1767
0,D10,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,43.3562,21.0077,28.3021,11.9636
1,D10,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,76.4005,17.6574,28.6851,10.7165
2,D10,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,29.067,23.6408,26.0746,20.3625
3,D10,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,16.1538
4,D10,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,51.6225,16.6295,25.1555,10.9364
5,D10,ConnectedComponentsClustering,word2vec,38,0.38749999999999996,qmc,16,100.0,0.0044,0.0087,11.7057
6,D10,UniqueMappingClustering,st5,88,0.8374999999999999,qmc,16,98.2564,4.1902,8.0376,17.9532
7,D10,ConnectedComponentsClustering,smpnet,63,0.16249999999999998,qmc,16,0,0,0,20.2588
8,D10,KiralyMSMApproximateClustering,sent_glove,13,0.6125,qmc,16,54.7703,15.0155,23.5694,9.5948
9,D10,ConnectedComponentsClustering,smpnet,19,0.33125,qmc,16,0,0,0,14.8414
0,D10,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,43.3562,21.0077,28.3021,12.1431
1,D10,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,76.4005,17.6574,28.6851,11.0828
2,D10,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,29.067,23.6408,26.0746,20.4803
3,D10,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,16.7824
4,D10,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,51.6225,16.6295,25.1555,11.117
5,D10,ConnectedComponentsClustering,word2vec,38,0.38749999999999996,qmc,16,100.0,0.0044,0.0087,11.7495
6,D10,UniqueMappingClustering,st5,88,0.8374999999999999,qmc,16,98.2564,4.1902,8.0376,18.9385
7,D10,ConnectedComponentsClustering,smpnet,63,0.16249999999999998,qmc,16,0,0,0,19.785
8,D10,KiralyMSMApproximateClustering,sent_glove,13,0.6125,qmc,16,54.7703,15.0155,23.5694,9.8811
9,D10,ConnectedComponentsClustering,smpnet,19,0.33125,qmc,16,0,0,0,14.6217
10,D10,ConnectedComponentsClustering,fasttext,69,0.78125,qmc,16,85.5856,0.4155,0.827,15.6312
11,D10,UniqueMappingClustering,sent_glove,94,0.10625,qmc,16,31.3069,22.2543,26.0156,32.4311
12,D10,KiralyMSMApproximateClustering,sminilm,44,0.55625,qmc,16,78.0455,17.7098,28.8688,12.835
13,D10,UniqueMappingClustering,fasttext,32,0.21875,qmc,16,34.1051,20.2948,25.447,15.2812
14,D10,KiralyMSMApproximateClustering,sminilm,82,0.66875,qmc,16,93.5759,5.288,10.0103,15.5673
0,D10,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,43.3562,21.0077,28.3021,11.6651
1,D10,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,76.4005,17.6574,28.6851,11.7333
2,D10,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,29.067,23.6408,26.0746,20.9205
3,D10,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,16.1884
4,D10,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,51.6225,16.6295,25.1555,11.3039
5,D10,ConnectedComponentsClustering,word2vec,38,0.38749999999999996,qmc,16,100.0,0.0044,0.0087,11.555
6,D10,UniqueMappingClustering,st5,88,0.8374999999999999,qmc,16,98.2564,4.1902,8.0376,18.5017
7,D10,ConnectedComponentsClustering,smpnet,63,0.16249999999999998,qmc,16,0,0,0,21.1107
8,D10,KiralyMSMApproximateClustering,sent_glove,13,0.6125,qmc,16,54.7703,15.0155,23.5694,9.6762
9,D10,ConnectedComponentsClustering,smpnet,19,0.33125,qmc,16,0,0,0,14.9202
10,D10,ConnectedComponentsClustering,fasttext,69,0.78125,qmc,16,85.5856,0.4155,0.827,16.223
11,D10,UniqueMappingClustering,sent_glove,94,0.10625,qmc,16,31.3069,22.2543,26.0156,32.4989
12,D10,KiralyMSMApproximateClustering,sminilm,44,0.55625,qmc,16,78.0455,17.7098,28.8688,12.7879
13,D10,UniqueMappingClustering,fasttext,32,0.21875,qmc,16,34.1051,20.2948,25.447,16.2016
14,D10,KiralyMSMApproximateClustering,sminilm,82,0.66875,qmc,16,93.5759,5.288,10.0103,15.3652
15,D10,KiralyMSMApproximateClustering,word2vec,57,0.4437499999999999,qmc,16,43.6881,19.8749,27.3208,20.2529
16,D10,ConnectedComponentsClustering,sent_glove,7,0.8937499999999999,qmc,16,95.6522,0.0962,0.1923,7.7933
17,D10,KiralyMSMApproximateClustering,st5,10,0.47187499999999993,qmc,16,69.7433,45.8732,55.3442,16.2565
18,D10,ConnectedComponentsClustering,word2vec,60,0.921875,qmc,16,79.9228,0.9054,1.7905,15.1948
19,D10,ConnectedComponentsClustering,word2vec,85,0.24687499999999996,qmc,16,0,0,0,18.2075
0,D10,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,43.3562,21.0077,28.3021,12.1372
1,D10,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,76.4005,17.6574,28.6851,10.7536
2,D10,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,29.067,23.6408,26.0746,21.0602
3,D10,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,16.2905
4,D10,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,51.6225,16.6295,25.1555,11.0393
5,D10,ConnectedComponentsClustering,word2vec,38,0.38749999999999996,qmc,16,100.0,0.0044,0.0087,12.1221
6,D10,UniqueMappingClustering,st5,88,0.8374999999999999,qmc,16,98.2564,4.1902,8.0376,18.3139
7,D10,ConnectedComponentsClustering,smpnet,63,0.16249999999999998,qmc,16,0,0,0,19.8675
8,D10,KiralyMSMApproximateClustering,sent_glove,13,0.6125,qmc,16,54.7703,15.0155,23.5694,9.8855
9,D10,ConnectedComponentsClustering,smpnet,19,0.33125,qmc,16,0,0,0,14.9809
10,D10,ConnectedComponentsClustering,fasttext,69,0.78125,qmc,16,85.5856,0.4155,0.827,16.3107
11,D10,UniqueMappingClustering,sent_glove,94,0.10625,qmc,16,31.3069,22.2543,26.0156,32.157
12,D10,KiralyMSMApproximateClustering,sminilm,44,0.55625,qmc,16,78.0455,17.7098,28.8688,12.7023
13,D10,UniqueMappingClustering,fasttext,32,0.21875,qmc,16,34.1051,20.2948,25.447,16.0697
14,D10,KiralyMSMApproximateClustering,sminilm,82,0.66875,qmc,16,93.5759,5.288,10.0103,15.2039
15,D10,KiralyMSMApproximateClustering,word2vec,57,0.4437499999999999,qmc,16,43.6881,19.8749,27.3208,21.2789
16,D10,ConnectedComponentsClustering,sent_glove,7,0.8937499999999999,qmc,16,95.6522,0.0962,0.1923,7.9414
17,D10,KiralyMSMApproximateClustering,st5,10,0.47187499999999993,qmc,16,69.7433,45.8732,55.3442,16.3888
18,D10,ConnectedComponentsClustering,word2vec,60,0.921875,qmc,16,79.9228,0.9054,1.7905,15.3587
19,D10,ConnectedComponentsClustering,word2vec,85,0.24687499999999996,qmc,16,0,0,0,18.5558
20,D10,ConnectedComponentsClustering,st5,35,0.696875,qmc,16,93.0601,11.3196,20.1841,17.5311
21,D10,KiralyMSMApproximateClustering,sminilm,47,0.134375,qmc,16,55.9035,29.9042,38.965,20.3894
22,D10,UniqueMappingClustering,word2vec,97,0.584375,qmc,16,30.1438,23.1903,26.2138,27.1377
23,D10,UniqueMappingClustering,fasttext,72,0.35937499999999994,qmc,16,31.6781,20.8153,25.1227,25.5073
24,D10,ConnectedComponentsClustering,word2vec,22,0.809375,qmc,16,87.8049,6.1409,11.479,9.7254
0,D10,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,43.3562,21.0077,28.3021,12.5979
1,D10,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,76.4005,17.6574,28.6851,11.0229
2,D10,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,29.067,23.6408,26.0746,20.761
3,D10,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,16.4345
4,D10,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,51.6225,16.6295,25.1555,10.8153
5,D10,ConnectedComponentsClustering,word2vec,38,0.38749999999999996,qmc,16,100.0,0.0044,0.0087,12.1652
6,D10,UniqueMappingClustering,st5,88,0.8374999999999999,qmc,16,98.2564,4.1902,8.0376,18.5201
7,D10,ConnectedComponentsClustering,smpnet,63,0.16249999999999998,qmc,16,0,0,0,21.2934
8,D10,KiralyMSMApproximateClustering,sent_glove,13,0.6125,qmc,16,54.7703,15.0155,23.5694,9.7784
9,D10,ConnectedComponentsClustering,smpnet,19,0.33125,qmc,16,0,0,0,14.615
10,D10,ConnectedComponentsClustering,fasttext,69,0.78125,qmc,16,85.5856,0.4155,0.827,15.7765
11,D10,UniqueMappingClustering,sent_glove,94,0.10625,qmc,16,31.3069,22.2543,26.0156,33.1253
12,D10,KiralyMSMApproximateClustering,sminilm,44,0.55625,qmc,16,78.0455,17.7098,28.8688,12.1955
13,D10,UniqueMappingClustering,fasttext,32,0.21875,qmc,16,34.1051,20.2948,25.447,15.7501
14,D10,KiralyMSMApproximateClustering,sminilm,82,0.66875,qmc,16,93.5759,5.288,10.0103,15.3328
15,D10,KiralyMSMApproximateClustering,word2vec,57,0.4437499999999999,qmc,16,43.6881,19.8749,27.3208,20.0337
16,D10,ConnectedComponentsClustering,sent_glove,7,0.8937499999999999,qmc,16,95.6522,0.0962,0.1923,8.3549
17,D10,KiralyMSMApproximateClustering,st5,10,0.47187499999999993,qmc,16,69.7433,45.8732,55.3442,16.3499
18,D10,ConnectedComponentsClustering,word2vec,60,0.921875,qmc,16,79.9228,0.9054,1.7905,15.361
19,D10,ConnectedComponentsClustering,word2vec,85,0.24687499999999996,qmc,16,0,0,0,18.3142
20,D10,ConnectedComponentsClustering,st5,35,0.696875,qmc,16,93.0601,11.3196,20.1841,17.3195
21,D10,KiralyMSMApproximateClustering,sminilm,47,0.134375,qmc,16,55.9035,29.9042,38.965,20.0436
22,D10,UniqueMappingClustering,word2vec,97,0.584375,qmc,16,30.1438,23.1903,26.2138,27.0534
23,D10,UniqueMappingClustering,fasttext,72,0.35937499999999994,qmc,16,31.6781,20.8153,25.1227,25.4458
24,D10,ConnectedComponentsClustering,word2vec,22,0.809375,qmc,16,87.8049,6.1409,11.479,10.765
25,D10,UniqueMappingClustering,smpnet,16,0.190625,qmc,16,53.7655,32.756,40.7099,17.0953
26,D10,UniqueMappingClustering,sdistilroberta,66,0.640625,qmc,16,72.0996,5.5723,10.3451,16.2856
27,D10,ConnectedComponentsClustering,sent_glove,91,0.41562499999999997,qmc,16,78.125,0.1093,0.2184,19.4222
28,D10,UniqueMappingClustering,sent_glove,41,0.865625,qmc,16,89.7727,0.3455,0.6884,9.6209
29,D10,ConnectedComponentsClustering,sdistilroberta,29,0.303125,qmc,16,0,0,0,16.1831
0,D10,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,43.3562,21.0077,28.3021,11.9457
1,D10,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,76.4005,17.6574,28.6851,11.1222
2,D10,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,29.067,23.6408,26.0746,20.3549
