trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
0,D4,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,98.433,93.2104,95.7506,0.8559
1,D4,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,99.4747,93.6601,96.4799,0.4263
2,D4,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,94.2807,96.3579,95.308,2.2914
3,D4,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,1.9083
4,D4,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,98.5053,91.8615,95.0675,0.907
0,D4,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,98.433,93.2104,95.7506,1.0551
1,D4,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,99.4747,93.6601,96.4799,0.4326
2,D4,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,94.2807,96.3579,95.308,2.1308
3,D4,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,1.9101
4,D4,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,98.5053,91.8615,95.0675,0.9616
5,D4,ConnectedComponentsClustering,word2vec,38,0.38749999999999996,qmc,16,0,0,0,1.3825
6,D4,UniqueMappingClustering,st5,88,0.8374999999999999,qmc,16,97.9018,98.6061,98.2527,1.3525
7,D4,ConnectedComponentsClustering,smpnet,63,0.16249999999999998,qmc,16,0,0,0,1.1717
8,D4,KiralyMSMApproximateClustering,sent_glove,13,0.6125,qmc,16,98.8219,94.2896,96.5025,1.2641
9,D4,ConnectedComponentsClustering,smpnet,19,0.33125,qmc,16,0,0,0,0.759
0,D4,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,98.433,93.2104,95.7506,0.6777
1,D4,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,99.4747,93.6601,96.4799,0.8521
2,D4,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,94.2807,96.3579,95.308,2.2555
3,D4,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,1.8074
4,D4,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,98.5053,91.8615,95.0675,1.1578
5,D4,ConnectedComponentsClustering,word2vec,38,0.38749999999999996,qmc,16,0,0,0,1.3318
6,D4,UniqueMappingClustering,st5,88,0.8374999999999999,qmc,16,97.9018,98.6061,98.2527,1.1238
7,D4,ConnectedComponentsClustering,smpnet,63,0.16249999999999998,qmc,16,0,0,0,2.2565
8,D4,KiralyMSMApproximateClustering,sent_glove,13,0.6125,qmc,16,98.8219,94.2896,96.5025,0.5912
9,D4,ConnectedComponentsClustering,smpnet,19,0.33125,qmc,16,0,0,0,0.7607
10,D4,ConnectedComponentsClustering,fasttext,69,0.78125,qmc,16,0.0,0.0,0.0,1.6482
11,D4,UniqueMappingClustering,sent_glove,94,0.10625,qmc,16,94.1254,96.5378,95.3163,4.1987
12,D4,KiralyMSMApproximateClustering,sminilm,44,0.55625,qmc,16,98.0883,96.8975,97.4893,1.6604
13,D4,UniqueMappingClustering,fasttext,32,0.21875,qmc,16,83.1078,74.5504,78.5968,1.3753
14,D4,KiralyMSMApproximateClustering,sminilm,82,0.66875,qmc,16,98.4418,96.5827,97.5034,1.3545
0,D4,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,98.433,93.2104,95.7506,1.3373
