TEST_SET,DATASET,REGRESSOR,OPTIMIZATION_TIME,BEST_REGRESSOR_PREDICTION_TIME,BEST_REGRESSOR_FIT_TIME
D5,optuna,XGBRegressor,88440.8418,0.1737,1096.3564
D6,all,Lasso,108837.6827,0.0488,2536.8268
D6,all,LinearRegression,1.2322,0.0682,0.9417
D6,all,NN,16749.1063,0.7032,339.1717
D6,all,RandomForestRegressor,6022.2469,1.3155,121.009
D6,all,Ridge,13.6029,0.0588,0.0725
D6,all,XGBRegressor,98171.183,0.3343,2049.8536
D6,gridsearch,Lasso,114055.0352,0.0314,2661.9764
D6,gridsearch,LinearRegression,1.0594,0.0659,0.6688
D6,gridsearch,NN,17595.3461,0.5412,491.9162
D6,gridsearch,RandomForestRegressor,4035.471,1.1579,107.2406
D6,gridsearch,Ridge,11.8474,0.0512,0.1388
D6,gridsearch,XGBRegressor,92746.0099,0.2278,1672.6246
D6,optuna,Lasso,107526.6904,0.0011,2520.3829
D6,optuna,LinearRegression,0.9403,0.018,1.1805
D6,optuna,NN,10275.8673,0.3006,291.8215
D6,optuna,RandomForestRegressor,2198.5986,0.2085,21.8822
D6,optuna,Ridge,6.904,0.0013,0.0579
D6,optuna,XGBRegressor,113868.2086,0.2397,3554.7282
D7,all,Lasso,109520.249,0.0557,2582.183
D7,all,LinearRegression,0.8304,0.0687,1.0095
D7,all,NN,25838.8774,0.5813,526.7789
D7,all,RandomForestRegressor,5075.9145,0.2999,31.8871
D7,all,Ridge,13.5991,0.0503,0.0688
D7,all,XGBRegressor,77902.0978,0.1283,548.6558
D7,gridsearch,Lasso,113473.1627,0.0475,2403.1124
D7,gridsearch,LinearRegression,1.1123,0.0509,0.8588
D7,gridsearch,NN,16583.7408,0.4446,374.852
D7,gridsearch,RandomForestRegressor,3328.6428,0.4559,44.2116
D7,gridsearch,Ridge,11.5181,0.0628,0.0564
D7,gridsearch,XGBRegressor,88136.6998,0.1748,1103.6479
D7,optuna,Lasso,108862.8706,0.0011,2475.3041
D7,optuna,LinearRegression,0.8784,0.0012,0.9359
D7,optuna,NN,8675.6687,0.303,287.3252
D7,optuna,RandomForestRegressor,2178.7676,0.3609,38.8226
D7,optuna,Ridge,7.0378,0.0011,0.0404
D7,optuna,XGBRegressor,88833.968,0.2005,1802.8115
D8,all,Lasso,115386.7587,0.0474,2543.4647
D8,all,LinearRegression,1.1319,0.0629,1.056
D8,all,NN,25910.5335,0.5387,737.1408
D8,all,RandomForestRegressor,7154.0789,1.3669,140.8174
D8,all,Ridge,11.2905,0.0263,0.0495
