TEST_SET,DATASET,EXPERIMENT,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME,WITH_DATA_FEATURES,LM,K,CLUSTERING,THRESHOLD,ETEER_RUNTIME
D7,gridsearch,DL-SKLEARN,XGBRegressor,0.0826,336.2107,62.3109,67.76,0.9196,88136.6998,1103.6479,0.1748,1,,,,,
D8,gridsearch,DL-SKLEARN,XGBRegressor,0.0915,255.9193,39.9732,49.5337,0.807,79364.0628,1548.7496,0.21,1,,,,,
D9,gridsearch,DL-SKLEARN,XGBRegressor,0.0941,2504.458,93.6323,94.9241,0.9864,28673.4413,369.5228,0.0632,1,,,,,
D10,gridsearch,DL-SKLEARN,XGBRegressor,0.0649,410.9327,0.8535,56.117,0.0152,30571.3308,633.0021,0.0883,1,,,,,
D1,gridsearch,DL-SKLEARN,Lasso,278.7828,657.1109,55.3459,78.4314,0.7057,70718.5902,1547.3801,0.0275,1,,,,,
D2,gridsearch,DL-SKLEARN,Lasso,265.5911,1412.9697,81.9401,85.8486,0.9545,69870.7391,1577.5961,0.0235,1,,,,,
D3,gridsearch,DL-SKLEARN,Lasso,285.7631,85719.0589,55.9823,59.1887,0.9458,68014.8349,1510.5563,0.0235,1,,,,,
D4,gridsearch,DL-SKLEARN,Lasso,247.0875,3303.2533,98.3769,98.6011,0.9977,84910.3308,2604.2925,0.0352,1,,,,,
D5,gridsearch,DL-SKLEARN,Lasso,284.3962,321.1654,69.3934,78.9235,0.8792,116263.7625,2446.657,0.0392,1,,,,,
D6,gridsearch,DL-SKLEARN,Lasso,281.9275,1066.7632,43.8459,60.4225,0.7257,114055.0352,2661.9764,0.0314,1,,,,,
D7,gridsearch,DL-SKLEARN,Lasso,278.2245,497.5716,48.4848,67.76,0.7155,113473.1627,2403.1124,0.0475,1,,,,,
D8,gridsearch,DL-SKLEARN,Lasso,327.6354,3953.8983,38.0861,49.5337,0.7689,114786.3965,2651.044,0.0699,1,,,,,
D9,gridsearch,DL-SKLEARN,Lasso,267.2667,17771.4128,92.8452,94.9241,0.9781,111055.2662,2541.8,0.0435,1,,,,,
D10,gridsearch,DL-SKLEARN,Lasso,263.685,41192489.036,55.3994,56.117,0.9872,104314.2585,2079.0167,0.0315,1,,,,,
D1,optuna,DL-SKLEARN,Ridge,208.293,851.2712,55.3459,78.4314,0.7057,5.0586,0.0287,0.0011,1,,,,,
D2,optuna,DL-SKLEARN,Ridge,214.4293,1243.9366,81.9401,85.8486,0.9545,5.4473,0.0222,0.0012,1,,,,,
D3,optuna,DL-SKLEARN,Ridge,245.8236,120507.473,55.9823,59.1887,0.9458,6.283,0.0698,0.0011,1,,,,,
D4,optuna,DL-SKLEARN,Ridge,223.0455,5202.2089,98.3769,98.6011,0.9977,6.171,0.0643,0.0011,1,,,,,
D5,optuna,DL-SKLEARN,Ridge,231.1712,623.0424,68.4926,78.9235,0.8678,6.3177,0.0557,0.0011,1,,,,,
D6,optuna,DL-SKLEARN,Ridge,241.7407,637.4256,46.6491,60.4225,0.772,6.904,0.0579,0.0013,1,,,,,
D7,optuna,DL-SKLEARN,Ridge,226.6577,485.2358,48.4848,67.76,0.7155,7.0378,0.0404,0.0011,1,,,,,
D8,optuna,DL-SKLEARN,Ridge,250.8969,12889.6125,38.0861,49.5337,0.7689,7.4267,0.1684,0.0011,1,,,,,
D9,optuna,DL-SKLEARN,Ridge,212.3397,172493.7985,92.8452,94.9241,0.9781,7.1916,0.1464,0.0011,1,,,,,
D10,optuna,DL-SKLEARN,Ridge,231.814,26571828.3051,55.0247,56.117,0.9805,6.8898,0.1231,0.0011,1,,,,,
D1,optuna,DL-SKLEARN,LinearRegression,208.293,1.8776344551424374e+20,55.3459,78.4314,0.7057,0.088,0.0649,0.0014,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2369
D2,optuna,DL-SKLEARN,LinearRegression,214.4268,1.3882366243231588e+22,81.9401,85.8486,0.9545,0.0914,0.0633,0.0015,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2036
D3,optuna,DL-SKLEARN,LinearRegression,245.8236,3.167211468255674e+26,55.9823,59.1887,0.9458,0.1065,0.0645,0.0016,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.4788
D4,optuna,DL-SKLEARN,LinearRegression,223.0474,8.721636337371975e+22,98.3769,98.6011,0.9977,0.1049,0.079,0.0015,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.8333
D5,optuna,DL-SKLEARN,LinearRegression,231.1806,623.0459,68.4926,78.9235,0.8678,0.0868,0.0648,0.0015,1,st5,100.0,KiralyMSMApproximateClustering,0.05,9.8905
D6,optuna,DL-SKLEARN,LinearRegression,241.7579,626.1787,46.6491,60.4225,0.772,0.0918,0.0641,0.0015,1,st5,100.0,KiralyMSMApproximateClustering,0.05,10.2431
D7,optuna,DL-SKLEARN,LinearRegression,226.6376,8.579915133420423e+22,48.4848,67.76,0.7155,0.105,0.064,0.0015,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6235
D8,optuna,DL-SKLEARN,LinearRegression,250.9017,6.112238161537065e+24,38.0861,49.5337,0.7689,0.1427,0.0605,0.0014,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6269
D9,optuna,DL-SKLEARN,LinearRegression,212.3574,2.330596331136551e+25,92.8452,94.9241,0.9781,0.0925,0.0968,0.0093,1,st5,1.0,KiralyMSMApproximateClustering,0.05,4.2272
D10,optuna,DL-SKLEARN,LinearRegression,231.791,1.6897482145856271e+31,55.0247,56.117,0.9805,0.0985,0.0903,0.0015,1,st5,100.0,KiralyMSMApproximateClustering,0.05,37.9932
D1,all,DL-SKLEARN,Lasso,265.6853,723.2741,55.3459,78.4314,0.7057,70834.7107,1570.2286,0.0275,1,,,,,
D2,all,DL-SKLEARN,Lasso,262.6986,1426.3696,81.9401,85.8486,0.9545,69978.5348,1573.1725,0.0235,1,,,,,
D3,all,DL-SKLEARN,Lasso,271.0481,78928.4432,55.9823,59.1887,0.9458,71767.8186,1598.1568,0.0235,1,,,,,
D4,all,DL-SKLEARN,Lasso,245.2527,3199.3361,98.3769,98.6011,0.9977,89158.0307,2532.4246,0.0355,1,,,,,
D5,all,DL-SKLEARN,Lasso,282.8489,299.9537,69.3934,78.9235,0.8792,117134.7625,2494.7034,0.0446,1,,,,,
D6,all,DL-SKLEARN,Lasso,277.661,1085.8734,43.8459,60.4225,0.7257,108837.6827,2536.8268,0.0488,1,,,,,
D7,all,DL-SKLEARN,Lasso,271.4893,530.602,48.4848,67.76,0.7155,109520.249,2582.183,0.0557,1,,,,,
D8,all,DL-SKLEARN,Lasso,323.3047,4109.0993,38.0861,49.5337,0.7689,115386.7587,2543.4647,0.0474,1,,,,,
D9,all,DL-SKLEARN,Lasso,269.5435,18265.4519,92.8452,94.9241,0.9781,109473.0754,2668.3286,0.0353,1,,,,,
D10,all,DL-SKLEARN,Lasso,261.5843,34312790.9762,55.3994,56.117,0.9872,105282.2767,2142.4126,0.039,1,,,,,
D1,optuna,DL-SKLEARN,XGBRegressor,0.0209,1069.4838,54.6584,78.4314,0.6969,88921.9027,1144.4428,0.135,1,,,,,
D2,optuna,DL-SKLEARN,XGBRegressor,0.0209,971.6385,84.9483,85.8486,0.9895,89926.4789,1302.4323,0.142,1,,,,,
D3,optuna,DL-SKLEARN,XGBRegressor,0.0197,1342.2388,26.9341,59.1887,0.4551,90075.743,2267.57,0.2298,1,,,,,
D4,optuna,DL-SKLEARN,XGBRegressor,0.1044,1737.1654,98.2646,98.6011,0.9966,89105.3416,1807.3036,0.1812,1,,,,,
D5,optuna,DL-SKLEARN,XGBRegressor,0.0289,360.9081,44.8289,78.9235,0.568,88440.8418,1096.3564,0.1737,1,,,,,
D6,optuna,DL-SKLEARN,XGBRegressor,0.0191,350.7249,51.8145,60.4225,0.8575,113868.2086,3554.7282,0.2397,1,,,,,
D7,optuna,DL-SKLEARN,XGBRegressor,0.0828,341.6703,61.4897,67.76,0.9075,88833.968,1802.8115,0.2005,1,,,,,
D8,optuna,DL-SKLEARN,XGBRegressor,0.0137,314.6845,40.0672,49.5337,0.8089,82367.5953,1151.6393,0.084,1,,,,,
D9,optuna,DL-SKLEARN,XGBRegressor,0.0806,2500.4233,94.3485,94.9241,0.9939,27531.5568,561.8474,0.0527,1,,,,,
D10,optuna,DL-SKLEARN,XGBRegressor,0.0195,270.6428,0.2883,56.117,0.0051,23528.4496,102.9053,0.0298,1,,,,,
D1,all,DL-SKLEARN,Ridge,247.1178,633.7072,55.3459,78.4314,0.7057,11.6841,0.061,0.0331,1,,,,,
D2,all,DL-SKLEARN,Ridge,241.8801,1295.329,81.9401,85.8486,0.9545,12.3423,0.2269,0.067,1,,,,,
D3,all,DL-SKLEARN,Ridge,270.4145,119729.7979,55.9823,59.1887,0.9458,15.0903,0.1231,0.0368,1,,,,,
D4,all,DL-SKLEARN,Ridge,243.8162,5264.5146,98.3769,98.6011,0.9977,14.4215,0.1897,0.0819,1,,,,,
D5,all,DL-SKLEARN,Ridge,252.012,675.3184,69.3934,78.9235,0.8792,14.7225,0.2309,0.043,1,,,,,
D6,all,DL-SKLEARN,Ridge,269.8981,635.335,43.8459,60.4225,0.7257,13.6029,0.0725,0.0588,1,,,,,
D7,all,DL-SKLEARN,Ridge,254.9506,499.9884,48.4848,67.76,0.7155,13.5991,0.0688,0.0503,1,,,,,
D8,all,DL-SKLEARN,Ridge,279.2622,11870.1204,38.0861,49.5337,0.7689,11.2905,0.0495,0.0263,1,,,,,
D9,all,DL-SKLEARN,Ridge,228.6405,168524.4514,92.8452,94.9241,0.9781,10.6588,0.1449,0.0386,1,,,,,
D10,all,DL-SKLEARN,Ridge,261.5775,23910484.6598,55.3979,56.117,0.9872,10.4366,0.0749,0.043,1,,,,,
D1,optuna,DL-SKLEARN,Lasso,228.964,788.5738,55.3459,78.4314,0.7057,27130.7841,1579.6443,0.0012,1,,,,,
D2,optuna,DL-SKLEARN,Lasso,235.7584,1502.5885,78.4566,85.8486,0.9139,70048.9427,1565.2283,0.0012,1,,,,,
D3,optuna,DL-SKLEARN,Lasso,246.5791,78969.0211,55.9823,59.1887,0.9458,71653.651,1596.7404,0.0013,1,,,,,
D4,optuna,DL-SKLEARN,Lasso,224.7298,3073.0967,98.3769,98.6011,0.9977,68654.0788,1572.3802,0.0011,1,,,,,
D5,optuna,DL-SKLEARN,Lasso,262.6537,235.1199,68.4926,78.9235,0.8678,111087.0786,2418.4322,0.0012,1,,,,,
D6,optuna,DL-SKLEARN,Lasso,248.3911,1125.3285,43.8459,60.4225,0.7257,107526.6904,2520.3829,0.0011,1,,,,,
D7,optuna,DL-SKLEARN,Lasso,241.5464,516.6667,48.4848,67.76,0.7155,108862.8706,2475.3041,0.0011,1,,,,,
D8,optuna,DL-SKLEARN,Lasso,297.204,4440.9168,40.7814,49.5337,0.8233,114338.9987,2627.7607,0.0011,1,,,,,
D9,optuna,DL-SKLEARN,Lasso,254.7727,19115.1403,92.8452,94.9241,0.9781,110471.5548,2535.9923,0.0011,1,,,,,
D10,optuna,DL-SKLEARN,Lasso,231.8125,37292234.9051,55.0247,56.117,0.9805,117535.2361,2588.9111,0.0011,1,,,,,
D1,gridsearch,DL-SKLEARN,LinearRegression,260.056,6.882917420340123e+23,55.3459,78.4314,0.7057,0.1583,0.1282,0.0018,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2369
D2,gridsearch,DL-SKLEARN,LinearRegression,243.7653,1.106860114588657e+23,81.9401,85.8486,0.9545,0.152,0.1283,0.0018,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2036
D3,gridsearch,DL-SKLEARN,LinearRegression,284.6536,3.682825565562742e+22,55.9823,59.1887,0.9458,0.1593,0.1265,0.0017,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.4788
D4,gridsearch,DL-SKLEARN,LinearRegression,245.9037,9.391117450129668e+18,98.3769,98.6011,0.9977,0.1679,0.1298,0.0017,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.8333
D5,gridsearch,DL-SKLEARN,LinearRegression,250.2562,692.4535,69.3934,78.9235,0.8792,0.1439,0.1191,0.0019,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.7913
D6,gridsearch,DL-SKLEARN,LinearRegression,272.0595,603.9419,43.8459,60.4225,0.7257,0.1625,0.1639,0.0019,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.3672
D7,gridsearch,DL-SKLEARN,LinearRegression,257.6036,2.312420200055047e+22,48.4848,67.76,0.7155,0.1711,0.1645,0.002,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6235
D8,gridsearch,DL-SKLEARN,LinearRegression,281.3939,11745.0694,38.0861,49.5337,0.7689,0.3701,0.182,0.0017,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6269
D9,gridsearch,DL-SKLEARN,LinearRegression,223.653,171284.0214,92.8452,94.9241,0.9781,0.3234,0.1902,0.0019,1,st5,1.0,KiralyMSMApproximateClustering,0.05,4.2272
D10,gridsearch,DL-SKLEARN,LinearRegression,263.6473,32339957.7667,55.3994,56.117,0.9872,0.2058,0.2154,0.0102,1,st5,1.0,KiralyMSMApproximateClustering,0.05,12.5363
D1,gridsearch,DL-SKLEARN,Ridge,260.056,498.4444,55.3459,78.4314,0.7057,9.1066,0.0762,0.0233,1,,,,,
D2,gridsearch,DL-SKLEARN,Ridge,243.7653,1313.525,81.9401,85.8486,0.9545,10.2152,0.0485,0.0511,1,,,,,
