TEST_SET,DATASET,EXPERIMENT,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME,WITH_DATA_FEATURES,LM,K,CLUSTERING,THRESHOLD
D3,optuna,AutoML,AutoML Ensemble {extra_trees   extra_trees   gradient_boosting   k_nearest_neighbors   extra_trees},,241.8911,55.9823,59.1887,0.9458,43226.6314,,52.9692,0,,,,
D4,optuna,AutoML,AutoML Ensemble {extra_trees   extra_trees   random_forest   gradient_boosting   ard_regression},,1938.3059,98.1761,98.6011,0.9957,43205.6582,,24.7524,0,,,,
D5,optuna,AutoML,AutoML Ensemble {extra_trees   extra_trees   random_forest   gradient_boosting   random_forest   k_nearest_neighbors   random_forest},,281.6592,73.7428,78.9235,0.9344,43245.3355,,118.7708,0,,,,
D6,optuna,AutoML,AutoML Ensemble {extra_trees   extra_trees   extra_trees   k_nearest_neighbors   gradient_boosting   ard_regression   extra_trees},,427.6422,51.1573,60.4225,0.8467,43248.4301,,98.5581,0,,,,
D7,optuna,AutoML,AutoML Ensemble {extra_trees   extra_trees   random_forest   gradient_boosting   k_nearest_neighbors   gradient_boosting},,269.9462,65.3846,67.76,0.9649,43237.6968,,203.5877,0,,,,
D8,optuna,AutoML,AutoML Ensemble {extra_trees   extra_trees   k_nearest_neighbors   gradient_boosting   random_forest   adaboost   random_forest},,781.2956,40.7814,49.5337,0.8233,43224.7582,,279.4591,0,,,,
D9,optuna,AutoML,AutoML Ensemble {extra_trees   extra_trees   random_forest   extra_trees   ard_regression   gradient_boosting},,1008.8927,94.3887,94.9241,0.9944,43212.5025,,68.6226,0,,,,
D1,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,395.941,55.873,78.4314,0.7124,43257.0783,,18.6876,1,,,,
D10,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   gradient_boosting   random_forest},,511.8296,28.7518,56.117,0.5124,43275.055,,144.7314,1,,,,
D2,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   gradient_boosting   random_forest},,855.7836,68.8019,85.8486,0.8014,43335.3717,,89.7032,1,,,,
D3,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   gradient_boosting   random_forest},,189.6482,40.7589,59.1887,0.6886,43281.4819,,31.7524,1,,,,
D4,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,2642.6705,97.4684,98.6011,0.9885,43305.3135,,99.2664,1,,,,
D5,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   gradient_boosting   random_forest   extra_trees},,331.6355,78.5464,78.9235,0.9952,43300.8396,,137.665,1,,,,
D6,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,327.1364,45.5549,60.4225,0.7539,43311.858,,148.3564,1,,,,
D7,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   gradient_boosting   random_forest},,315.377,62.3109,67.76,0.9196,43290.3449,,150.7719,1,,,,
D8,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,1057.5913,34.6102,49.5337,0.6987,43292.0531,,130.3076,1,,,,
D9,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   gradient_boosting   random_forest},,1452.7044,94.3686,94.9241,0.9941,43282.8634,,157.1148,1,,,,
D1,gridsearch,AutoML,AutoML Ensemble {random_forest   random_forest   adaboost   ard_regression   decision_tree   gradient_boosting   random_forest},,257.6623,55.873,78.4314,0.7124,43198.6213,,86.7171,0,,,,
D10,gridsearch,AutoML,AutoML Ensemble {random_forest   random_forest   adaboost   ard_regression},,805.7339,41.7267,56.117,0.7436,43196.4162,,8.6029,0,,,,
D2,gridsearch,AutoML,AutoML Ensemble {random_forest   random_forest   gradient_boosting   ard_regression   gradient_boosting   adaboost},,290.5681,78.1955,85.8486,0.9109,43207.4694,,25.0114,0,,,,
D3,gridsearch,AutoML,AutoML Ensemble {random_forest   random_forest   adaboost   ard_regression},,216.4003,56.7164,59.1887,0.9582,43198.7109,,11.2802,0,,,,
D4,gridsearch,AutoML,AutoML Ensemble {random_forest   random_forest   adaboost   ard_regression},,2253.4574,98.1761,98.6011,0.9957,43271.6744,,15.7608,0,,,,
D5,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest},,247.1245,73.071,78.9235,0.9258,43201.2355,,48.8183,0,,,,
D6,gridsearch,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   gradient_boosting   random_forest},,388.0007,50.3109,60.4225,0.8327,43246.9965,,136.9134,0,,,,
D7,gridsearch,AutoML,AutoML Ensemble {random_forest   random_forest   adaboost   gradient_boosting   ard_regression   liblinear_svr   gradient_boosting},,274.1749,52.4142,67.76,0.7735,43201.4669,,69.5448,0,,,,
D8,gridsearch,AutoML,AutoML Ensemble {random_forest   random_forest   adaboost   ard_regression   mlp},,527.7614,40.0942,49.5337,0.8094,43254.8238,,11.7817,0,,,,
D9,gridsearch,AutoML,AutoML Ensemble {random_forest   random_forest   mlp   adaboost   mlp},,941.9895,94.2827,94.9241,0.9932,43208.9891,,11.1976,0,,,,
