dataset,min,max
D1,0.0,78.4314
D10,0.0,56.117
D2,0.0,85.8486
D3,0.0,59.1887
D4,0.0,98.6011
D5,0.0,78.9235
D6,0.0,60.4225
D7,0.0,67.76
D8,0.0,49.5337
D9,0.0,94.9241
