dataset,f1,runtime
D1,0.742857142857143,1138.0743
D2,0.19007569386038686,566.2729
D3,0.6405529953917051,1979.1950
D4,0.9882903981264637,1096.7335
D5,0.8844339622641509,3821.177
D6,0.0242914979757085,755.0221
D7,0.026042983565107456,4993.4141
D8,0.5848563968668407,9543.0188
D9,0.0076475316008670444,25722.2993
D10,0.10487014319123619,8289.9255
