Feature,Importance,Std,Rank
k,0.0006085318282234242,0.00011372851885295332,0
threshold,-0.010909027401332727,0.0007206734669842142,1
InputEntityProfiles,0.0,0.0,2
NumberOfAttributes,0.0,0.0,3
NumberOfDistinctValues,0.0,0.0,4
NumberOfNameValuePairs,0.0,0.0,5
AverageNVPairsPerEntity,0.0,0.0,6
AverageDistinctValuesPerEntity,0.0,0.0,7
AverageNVpairsPerAttribute,0.0,0.0,8
AverageDistinctValuesPerAttribute,0.0,0.0,9
NumberOfMissingNVpairs,0.0,0.0,10
AverageValueLength,0.0,0.0,11
AverageValueTokens,0.0,0.0,12
MaxValuesPerEntity,0.0,0.0,13
clustering_ConnectedComponentsClustering,0.3383202207873495,0.0049957810129536186,14
clustering_KiralyMSMApproximateClustering,0.0123607977126327,0.00026956050361797535,15
clustering_UniqueMappingClustering,0.0025882576780068113,0.00012710619381335681,16
lm_fasttext,0.0017008301775263246,0.00010391171879185881,17
lm_sdistilroberta,-0.0023769833731924206,6.086374959362556e-05,18
lm_sent_glove,0.004076877343133145,9.47361128579236e-05,19
lm_sminilm,-0.001105526295581738,0.00015584240659644082,20
lm_smpnet,-0.005315583791411204,0.00011584123771490006,21
lm_st5,0.02177188445263991,0.0010224319420244292,22
lm_word2vec,0.0006012711106304413,8.368629277161844e-05,23
