max_trials,f1,f1_ratio
5,97.42324,0.9880542914835636
10,98.28452,0.9967892853122328
15,98.28452,0.9967892853122328
20,98.28452,0.9967892853122328
25,98.28452,0.9967892853122328
30,98.30284,0.9969750844564614
35,98.31168,0.9970647386286765
40,98.31168,0.9970647386286765
45,98.31168,0.9970647386286765
50,98.31168,0.9970647386286765
55,98.31168,0.9970647386286765
60,98.31168,0.9970647386286765
65,98.31168,0.9970647386286765
70,98.31168,0.9970647386286765
75,98.31168,0.9970647386286765
80,98.31168,0.9970647386286765
85,98.31168,0.9970647386286765
90,98.31168,0.9970647386286765
95,98.31168,0.9970647386286765
100,98.31168,0.9970647386286765
