max_trials,f1,f1_ratio
5,97.56176,0.9894591439649254
10,98.0454,0.9943641602375632
15,98.08062,0.9947213570639678
20,98.10686000000001,0.9949874798557015
25,98.12408,0.9951621229377766
30,98.30892,0.997036747054546
35,98.30892,0.997036747054546
40,98.30892,0.997036747054546
45,98.30892,0.997036747054546
50,98.3092,0.9970395867794578
55,98.3092,0.9970395867794578
60,98.3092,0.9970395867794578
65,98.33624,0.9973138230709394
70,98.33624,0.9973138230709394
75,98.33624,0.9973138230709394
80,98.33624,0.9973138230709394
85,98.33624,0.9973138230709394
90,98.33624,0.9973138230709394
95,98.33624,0.9973138230709394
100,98.34508000000001,0.9974034772431546
